Drug1_ID,Drug1_Name,Drug2_ID,Drug2_Name,Prediction_Score,Predicted_Type_Index,Predicted_Type_Name,Interaction_Translation,True_Type_Index,True_Type_Name,Match
DB08893,Mirabegron,DB09053,Ibrutinib,0.7729737758636475,73,Type_73,The serum concentration of Ibrutinib can be increased when it is combined with Mirabegron.,47,Type_47,No
DB00972,Azelastine,DB01250,Olsalazine,0.7226650714874268,49,Type_49,The risk or severity of adverse effects can be increased when Azelastine is combined with Olsalazine.,57,Type_57,No
DB00203,Sildenafil,DB01118,Amiodarone,0.8502922058105469,47,Type_47,The metabolism of Amiodarone can be decreased when combined with Sildenafil.,73,Type_73,No
DB01169,Arsenic trioxide,DB01623,Thiothixene,0.7145192623138428,33,Type_33,The risk or severity of QTc prolongation can be increased when Arsenic trioxide is combined with Thiothixene.,20,Type_20,No
DB01090,Pentolinium,DB01580,Oxprenolol,0.7541828155517578,10,Type_10,Pentolinium may increase the antihypertensive activities of Oxprenolol.,60,Type_60,No
DB00904,Ondansetron,DB04871,Lorcaserin,0.7263872027397156,47,Type_47,The metabolism of Lorcaserin can be decreased when combined with Ondansetron.,64,Type_64,No
DB00244,Mesalazine,DB04743,Nimesulide,0.8536547422409058,57,Type_57,Mesalazine may increase the nephrotoxic activities of Nimesulide.,49,Type_49,No
DB00495,Zidovudine,DB00722,Lisinopril,0.8041651248931885,49,Type_49,The risk or severity of adverse effects can be increased when Zidovudine is combined with Lisinopril.,75,Type_75,No
DB00313,Valproic acid,DB01601,Lopinavir,0.7019838094711304,47,Type_47,The metabolism of Lopinavir can be decreased when combined with Valproic acid.,75,Type_75,No
DB08881,Vemurafenib,DB08903,Bedaquiline,0.7734763026237488,73,Type_73,The serum concentration of Bedaquiline can be increased when it is combined with Vemurafenib.,75,Type_75,No
DB00370,Mirtazapine,DB06695,Dabigatran etexilate,0.8367676138877869,77,Type_77,The serum concentration of the active metabolites of Dabigatran etexilate can be increased when Dabigatran etexilate is used in combination with Mirtazapine.,73,Type_73,No
DB08880,Teriflunomide,DB08881,Vemurafenib,0.7124775052070618,75,Type_75,The serum concentration of Vemurafenib can be decreased when it is combined with Teriflunomide.,73,Type_73,No
DB00661,Verapamil,DB01320,Fosphenytoin,0.8832594156265259,4,Type_4,The metabolism of Fosphenytoin can be increased when combined with Verapamil.,73,Type_73,No
DB00297,Bupivacaine,DB01203,Nadolol,0.7288660407066345,49,Type_49,The risk or severity of adverse effects can be increased when Bupivacaine is combined with Nadolol.,73,Type_73,No
DB01211,Clarithromycin,DB09262,Imidafenacin,0.8515518307685852,47,Type_47,The metabolism of Imidafenacin can be decreased when combined with Clarithromycin.,73,Type_73,No
DB00282,Pamidronic acid,DB00448,Lansoprazole,0.7655970454216003,49,Type_49,The risk or severity of adverse effects can be increased when Pamidronic acid is combined with Lansoprazole.,70,Type_70,No
DB00296,Ropivacaine,DB00734,Risperidone,0.8076420426368713,49,Type_49,The risk or severity of adverse effects can be increased when Ropivacaine is combined with Risperidone.,60,Type_60,No
DB00315,Zolmitriptan,DB00601,Linezolid,0.8638381361961365,64,Type_64,Zolmitriptan may increase the serotonergic activities of Linezolid.,49,Type_49,No
DB01195,Flecainide,DB08864,Rilpivirine,0.8099534511566162,73,Type_73,The serum concentration of Rilpivirine can be increased when it is combined with Flecainide.,20,Type_20,No
DB01320,Fosphenytoin,DB08881,Vemurafenib,0.9435880184173584,75,Type_75,The serum concentration of Vemurafenib can be decreased when it is combined with Fosphenytoin.,73,Type_73,No
DB00831,Trifluoperazine,DB01200,Bromocriptine,0.7785047292709351,49,Type_49,The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Bromocriptine.,70,Type_70,No
DB00679,Thioridazine,DB00967,Desloratadine,0.996065080165863,49,Type_49,The risk or severity of adverse effects can be increased when Thioridazine is combined with Desloratadine.,73,Type_73,No
DB00325,Nitroprusside,DB01193,Acebutolol,0.9305513501167297,60,Type_60,Nitroprusside may increase the hypotensive activities of Acebutolol.,49,Type_49,No
DB09231,Benidipine,DB09270,Ubidecarenone,0.8618625402450562,73,Type_73,The serum concentration of Ubidecarenone can be increased when it is combined with Benidipine.,49,Type_49,No
DB00655,Estrone,DB04938,Ospemifene,0.8161861896514893,47,Type_47,The metabolism of Ospemifene can be decreased when combined with Estrone.,49,Type_49,No
DB01234,Dexamethasone,DB09070,Tibolone,0.9359269142150879,81,Type_81,Dexamethasone may increase the thrombogenic activities of Tibolone.,73,Type_73,No
DB00834,Mifepristone,DB05294,Vandetanib,0.7202146649360657,20,Type_20,Mifepristone may increase the QTc-prolonging activities of Vandetanib.,73,Type_73,No
DB00363,Clozapine,DB01005,Hydroxyurea,0.8565525412559509,73,Type_73,The serum concentration of Hydroxyurea can be increased when it is combined with Clozapine.,49,Type_49,No
DB01107,Methyprylon,DB06603,Panobinostat,0.7554842829704285,47,Type_47,The metabolism of Panobinostat can be decreased when combined with Methyprylon.,73,Type_73,No
DB01200,Bromocriptine,DB04948,Lofexidine,0.7769351601600647,25,Type_25,Bromocriptine may increase the atrioventricular blocking (AV block) activities of Lofexidine.,49,Type_49,No
DB00866,Alprenolol,DB08808,Bupranolol,0.7535189986228943,54,Type_54,Alprenolol may increase the bradycardic activities of Bupranolol.,60,Type_60,No
DB00261,Anagrelide,DB00489,Sotalol,0.7818735837936401,20,Type_20,Anagrelide may increase the QTc-prolonging activities of Sotalol.,33,Type_33,No
DB04272,Citric acid,DB09123,Dienogest,0.7244964241981506,12,Type_12,Citric acid may decrease the anticoagulant activities of Dienogest.,70,Type_70,No
DB00343,Diltiazem,DB00945,Acetylsalicylic acid,0.8171901702880859,47,Type_47,The metabolism of Acetylsalicylic acid can be decreased when combined with Diltiazem.,6,Type_6,No
DB05351,Dexlansoprazole,DB08931,Riociguat,0.7006120681762695,47,Type_47,The metabolism of Riociguat can be decreased when combined with Dexlansoprazole.,75,Type_75,No
DB01026,Ketoconazole,DB08860,Pitavastatin,0.7783432006835938,73,Type_73,The serum concentration of Pitavastatin can be increased when it is combined with Ketoconazole.,47,Type_47,No
DB00489,Sotalol,DB01158,Bretylium,0.792219340801239,49,Type_49,The risk or severity of adverse effects can be increased when Sotalol is combined with Bretylium.,54,Type_54,No
DB00264,Metoprolol,DB00349,Clobazam,0.7422276735305786,47,Type_47,The metabolism of Clobazam can be decreased when combined with Metoprolol.,73,Type_73,No
DB01182,Propafenone,DB01193,Acebutolol,0.8940533995628357,54,Type_54,Propafenone may increase the bradycardic activities of Acebutolol.,73,Type_73,No
DB00497,Oxycodone,DB01118,Amiodarone,0.808580219745636,47,Type_47,The metabolism of Amiodarone can be decreased when combined with Oxycodone.,49,Type_49,No
DB05521,Telaprevir,DB09289,Tianeptine,0.8125776648521423,47,Type_47,The metabolism of Tianeptine can be decreased when combined with Telaprevir.,73,Type_73,No
DB01236,Sevoflurane,DB06695,Dabigatran etexilate,0.946429431438446,77,Type_77,The serum concentration of the active metabolites of Dabigatran etexilate can be increased when Dabigatran etexilate is used in combination with Sevoflurane.,6,Type_6,No
DB01224,Quetiapine,DB11730,Ribociclib,0.941294252872467,33,Type_33,The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Ribociclib.,73,Type_73,No
DB01223,Aminophylline,DB01355,Hexobarbital,0.7614522576332092,70,Type_70,The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Aminophylline.,75,Type_75,No
DB00934,Maprotiline,DB09118,Stiripentol,0.7830407023429871,73,Type_73,The serum concentration of Stiripentol can be increased when it is combined with Maprotiline.,47,Type_47,No
DB00270,Isradipine,DB00656,Trazodone,0.8988853096961975,20,Type_20,Isradipine may increase the QTc-prolonging activities of Trazodone.,47,Type_47,No
DB00682,Warfarin,DB01138,Sulfinpyrazone,0.9335777759552002,6,Type_6,Warfarin may increase the anticoagulant activities of Sulfinpyrazone.,47,Type_47,No
DB00207,Azithromycin,DB00924,Cyclobenzaprine,0.7605948448181152,20,Type_20,Azithromycin may increase the QTc-prolonging activities of Cyclobenzaprine.,47,Type_47,No
DB00706,Tamsulosin,DB09477,Enalaprilat,0.7800731062889099,60,Type_60,Tamsulosin may increase the hypotensive activities of Enalaprilat.,49,Type_49,No
DB00364,Sucralfate,DB00682,Warfarin,0.8655247688293457,6,Type_6,Sucralfate may increase the anticoagulant activities of Warfarin.,12,Type_12,No
DB08918,Levomilnacipran,DB09054,Idelalisib,0.8182986974716187,47,Type_47,The metabolism of Idelalisib can be decreased when combined with Levomilnacipran.,73,Type_73,No
DB01466,Ethylmorphine,DB06212,Tolvaptan,0.7331517934799194,73,Type_73,The serum concentration of Tolvaptan can be increased when it is combined with Ethylmorphine.,49,Type_49,No
DB00661,Verapamil,DB04855,Dronedarone,0.9055021405220032,47,Type_47,The metabolism of Dronedarone can be decreased when combined with Verapamil.,25,Type_25,No
DB01156,Bupropion,DB01589,Quazepam,0.8585288524627686,47,Type_47,The metabolism of Quazepam can be decreased when combined with Bupropion.,73,Type_73,No
DB00196,Fluconazole,DB07615,Tranilast,0.8186806440353394,47,Type_47,The metabolism of Tranilast can be decreased when combined with Fluconazole.,73,Type_73,No
DB00564,Carbamazepine,DB06287,Temsirolimus,0.7271618843078613,4,Type_4,The metabolism of Temsirolimus can be increased when combined with Carbamazepine.,75,Type_75,No
DB00227,Lovastatin,DB00677,Isoflurophate,0.7769170999526978,47,Type_47,The metabolism of Isoflurophate can be decreased when combined with Lovastatin.,73,Type_73,No
DB00497,Oxycodone,DB01232,Saquinavir,0.7857639789581299,47,Type_47,The metabolism of Saquinavir can be decreased when combined with Oxycodone.,49,Type_49,No
DB06605,Apixaban,DB08881,Vemurafenib,0.8541543483734131,75,Type_75,The serum concentration of Vemurafenib can be decreased when it is combined with Apixaban.,73,Type_73,No
DB00220,Nelfinavir,DB00736,Esomeprazole,0.868918240070343,47,Type_47,The metabolism of Esomeprazole can be decreased when combined with Nelfinavir.,11,Type_11,No
DB01609,Deferasirox,DB04920,Clevidipine,0.9086157083511353,75,Type_75,The serum concentration of Clevidipine can be decreased when it is combined with Deferasirox.,73,Type_73,No
DB06702,Fesoterodine,DB09120,Zucapsaicin,0.9793727993965149,47,Type_47,The metabolism of Zucapsaicin can be decreased when combined with Fesoterodine.,77,Type_77,No
DB00751,Epinastine,DB00975,Dipyridamole,0.9873372912406921,53,Type_53,Epinastine may increase the antiplatelet activities of Dipyridamole.,6,Type_6,No
DB00539,Toremifene,DB09063,Ceritinib,0.8246140480041504,20,Type_20,Toremifene may increase the QTc-prolonging activities of Ceritinib.,73,Type_73,No
DB00486,Nabilone,DB00657,Mecamylamine,0.9931286573410034,49,Type_49,The risk or severity of adverse effects can be increased when Nabilone is combined with Mecamylamine.,85,Type_85,No
DB00762,Irinotecan,DB01241,Gemfibrozil,0.7428547739982605,47,Type_47,The metabolism of Gemfibrozil can be decreased when combined with Irinotecan.,77,Type_77,No
DB01264,Darunavir,DB08875,Cabozantinib,0.7669808864593506,47,Type_47,The metabolism of Cabozantinib can be decreased when combined with Darunavir.,73,Type_73,No
DB01171,Moclobemide,DB08932,Macitentan,0.9546529650688171,60,Type_60,Moclobemide may increase the hypotensive activities of Macitentan.,47,Type_47,No
DB04878,Voglibose,DB06663,Pasireotide,0.8670058250427246,9,Type_9,Voglibose may increase the hypoglycemic activities of Pasireotide.,70,Type_70,No
DB00604,Cisapride,DB01224,Quetiapine,0.8873726725578308,20,Type_20,Cisapride may increase the QTc-prolonging activities of Quetiapine.,33,Type_33,No
DB08881,Vemurafenib,DB09083,Ivabradine,0.7458289861679077,73,Type_73,The serum concentration of Ivabradine can be increased when it is combined with Vemurafenib.,75,Type_75,No
DB00270,Isradipine,DB00422,Methylphenidate,0.8864781260490417,47,Type_47,The metabolism of Methylphenidate can be decreased when combined with Isradipine.,37,Type_37,No
DB00257,Clotrimazole,DB06603,Panobinostat,0.8072136640548706,73,Type_73,The serum concentration of Panobinostat can be increased when it is combined with Clotrimazole.,47,Type_47,No
DB08880,Teriflunomide,DB08899,Enzalutamide,0.9502585530281067,75,Type_75,The serum concentration of Enzalutamide can be decreased when it is combined with Teriflunomide.,47,Type_47,No
DB00344,Protriptyline,DB09063,Ceritinib,0.9011393785476685,73,Type_73,The serum concentration of Ceritinib can be increased when it is combined with Protriptyline.,20,Type_20,No
DB00564,Carbamazepine,DB01590,Everolimus,0.7878267168998718,75,Type_75,The serum concentration of Everolimus can be decreased when it is combined with Carbamazepine.,73,Type_73,No
DB04868,Nilotinib,DB09074,Olaparib,0.7278643250465393,47,Type_47,The metabolism of Olaparib can be decreased when combined with Nilotinib.,73,Type_73,No
DB00921,Buprenorphine,DB09274,Artesunate,0.9231507182121277,65,Type_65,Buprenorphine may increase the excretion rate of Artesunate which could result in a lower serum level and potentially a reduction in efficacy.,11,Type_11,No
DB00409,Remoxipride,DB00907,Cocaine,0.7734974026679993,49,Type_49,The risk or severity of adverse effects can be increased when Remoxipride is combined with Cocaine.,47,Type_47,No
DB00436,Bendroflumethiazide,DB00796,Candesartan cilexetil,0.7962225079536438,49,Type_49,The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Candesartan cilexetil.,56,Type_56,No
DB00246,Ziprasidone,DB06288,Amisulpride,0.8708553314208984,49,Type_49,The risk or severity of adverse effects can be increased when Ziprasidone is combined with Amisulpride.,36,Type_36,No
DB00482,Celecoxib,DB00554,Piroxicam,0.7813906669616699,49,Type_49,The risk or severity of adverse effects can be increased when Celecoxib is combined with Piroxicam.,47,Type_47,No
DB01002,Levobupivacaine,DB08881,Vemurafenib,0.822553813457489,75,Type_75,The serum concentration of Vemurafenib can be decreased when it is combined with Levobupivacaine.,73,Type_73,No
DB06210,Eltrombopag,DB09054,Idelalisib,0.7136873006820679,47,Type_47,The metabolism of Idelalisib can be decreased when combined with Eltrombopag.,73,Type_73,No
DB00353,Methylergometrine,DB00542,Benazepril,0.7297360301017761,49,Type_49,The risk or severity of adverse effects can be increased when Methylergometrine is combined with Benazepril.,73,Type_73,No
DB00472,Fluoxetine,DB00906,Tiagabine,0.7997288703918457,47,Type_47,The metabolism of Tiagabine can be decreased when combined with Fluoxetine.,49,Type_49,No
DB01256,Retapamulin,DB01263,Posaconazole,0.9492108225822449,47,Type_47,The metabolism of Posaconazole can be decreased when combined with Retapamulin.,73,Type_73,No
DB00035,Desmopressin,DB06212,Tolvaptan,0.9981429576873779,49,Type_49,The risk or severity of adverse effects can be increased when Desmopressin is combined with Tolvaptan.,70,Type_70,No
DB00518,Albendazole,DB00608,Chloroquine,0.9361971020698547,47,Type_47,The metabolism of Chloroquine can be decreased when combined with Albendazole.,75,Type_75,No
DB00976,Telithromycin,DB09166,Etizolam,0.7617858052253723,47,Type_47,The metabolism of Etizolam can be decreased when combined with Telithromycin.,73,Type_73,No
DB00178,Ramipril,DB00323,Tolcapone,0.8866912126541138,60,Type_60,Ramipril may increase the hypotensive activities of Tolcapone.,49,Type_49,No
DB01357,Mestranol,DB01708,Prasterone,0.99648118019104,73,Type_73,The serum concentration of Prasterone can be increased when it is combined with Mestranol.,49,Type_49,No
DB00697,Tizanidine,DB01171,Moclobemide,0.9527848958969116,49,Type_49,The risk or severity of adverse effects can be increased when Tizanidine is combined with Moclobemide.,73,Type_73,No
DB00270,Isradipine,DB00758,Clopidogrel,0.9114665985107422,47,Type_47,The metabolism of Clopidogrel can be decreased when combined with Isradipine.,70,Type_70,No
DB00866,Alprenolol,DB01580,Oxprenolol,0.7297557592391968,25,Type_25,Alprenolol may increase the atrioventricular blocking (AV block) activities of Oxprenolol.,60,Type_60,No
DB00214,Torasemide,DB04846,Celiprolol,0.831805408000946,49,Type_49,The risk or severity of adverse effects can be increased when Torasemide is combined with Celiprolol.,83,Type_83,No
DB00503,Ritonavir,DB00822,Disulfiram,0.8103864192962646,47,Type_47,The metabolism of Disulfiram can be decreased when combined with Ritonavir.,49,Type_49,No
DB00489,Sotalol,DB00714,Apomorphine,0.8062351942062378,49,Type_49,The risk or severity of adverse effects can be increased when Sotalol is combined with Apomorphine.,25,Type_25,No
DB00471,Montelukast,DB09280,Lumacaftor,0.7364906668663025,4,Type_4,The metabolism of Lumacaftor can be increased when combined with Montelukast.,75,Type_75,No
DB00205,Pyrimethamine,DB01174,Phenobarbital,0.8040780425071716,4,Type_4,The metabolism of Phenobarbital can be increased when combined with Pyrimethamine.,47,Type_47,No
DB00320,Dihydroergotamine,DB01392,Yohimbine,0.9256647229194641,37,Type_37,Dihydroergotamine may decrease the antihypertensive activities of Yohimbine.,47,Type_47,No
DB01095,Fluvastatin,DB13874,Enasidenib,0.7052814960479736,73,Type_73,The serum concentration of Enasidenib can be increased when it is combined with Fluvastatin.,47,Type_47,No
DB00379,Mexiletine,DB00806,Pentoxifylline,0.9169421792030334,47,Type_47,The metabolism of Pentoxifylline can be decreased when combined with Mexiletine.,73,Type_73,No
DB06589,Pazopanib,DB09281,Magnesium trisilicate,0.8475003838539124,67,Type_67,Pazopanib can cause a decrease in the absorption of Magnesium trisilicate resulting in a reduced serum concentration and potentially a decrease in efficacy.,75,Type_75,No
DB00613,Amodiaquine,DB00938,Salmeterol,0.9598938226699829,47,Type_47,The metabolism of Salmeterol can be decreased when combined with Amodiaquine.,73,Type_73,No
DB00327,Hydromorphone,DB00418,Secobarbital,0.9682596921920776,49,Type_49,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Secobarbital.,4,Type_4,No
DB00734,Risperidone,DB00899,Remifentanil,0.9723790287971497,49,Type_49,The risk or severity of adverse effects can be increased when Risperidone is combined with Remifentanil.,60,Type_60,No
DB00182,Amphetamine,DB06767,Ammonium chloride,0.8629490733146667,73,Type_73,The serum concentration of Ammonium chloride can be increased when it is combined with Amphetamine.,75,Type_75,No
DB01240,Epoprostenol,DB01282,Carbetocin,0.9838418960571289,60,Type_60,Epoprostenol may increase the hypotensive activities of Carbetocin.,49,Type_49,No
DB00182,Amphetamine,DB01174,Phenobarbital,0.7713649868965149,4,Type_4,The metabolism of Phenobarbital can be increased when combined with Amphetamine.,75,Type_75,No
DB00418,Secobarbital,DB08808,Bupranolol,0.7854322195053101,60,Type_60,Secobarbital may increase the hypotensive activities of Bupranolol.,75,Type_75,No
DB00683,Midazolam,DB09054,Idelalisib,0.8511092662811279,47,Type_47,The metabolism of Idelalisib can be decreased when combined with Midazolam.,73,Type_73,No
DB01151,Desipramine,DB06144,Sertindole,0.8737290501594543,49,Type_49,The risk or severity of adverse effects can be increased when Desipramine is combined with Sertindole.,47,Type_47,No
DB01242,Clomipramine,DB01319,Fosamprenavir,0.8115975260734558,47,Type_47,The metabolism of Fosamprenavir can be decreased when combined with Clomipramine.,73,Type_73,No
DB00277,Theophylline,DB04854,Febuxostat,0.9763115048408508,73,Type_73,The serum concentration of Febuxostat can be increased when it is combined with Theophylline.,77,Type_77,No
DB00521,Carteolol,DB09118,Stiripentol,0.8325936794281006,73,Type_73,The serum concentration of Stiripentol can be increased when it is combined with Carteolol.,47,Type_47,No
DB09054,Idelalisib,DB12001,Abemaciclib,0.773313581943512,47,Type_47,The metabolism of Abemaciclib can be decreased when combined with Idelalisib.,49,Type_49,No
DB01011,Metyrapone,DB09288,Propacetamol,0.8910049200057983,73,Type_73,The serum concentration of Propacetamol can be increased when it is combined with Metyrapone.,77,Type_77,No
