Drug1_ID,Drug1_Name,Drug2_ID,Drug2_Name,Prediction_Score,Predicted_Type_Index,Predicted_Type_Name,Interaction_Translation,True_Type_Index,True_Type_Name,Match
DB00243,Ranolazine,DB00757,Dolasetron,0.457979291677475,47,Type_47,The metabolism of Dolasetron can be decreased when combined with Ranolazine.,20,Type_20,No
DB00734,Risperidone,DB00796,Candesartan cilexetil,0.4033242166042328,73,Type_73,The serum concentration of Candesartan cilexetil can be increased when it is combined with Risperidone.,60,Type_60,No
DB00575,Clonidine,DB00857,Terbinafine,0.49949148297309875,47,Type_47,The metabolism of Terbinafine can be decreased when combined with Clonidine.,47,Type_47,Yes
DB00296,Ropivacaine,DB00907,Cocaine,0.42535361647605896,47,Type_47,The metabolism of Cocaine can be decreased when combined with Ropivacaine.,47,Type_47,Yes
DB00215,Citalopram,DB00521,Carteolol,0.489381343126297,47,Type_47,The metabolism of Carteolol can be decreased when combined with Citalopram.,47,Type_47,Yes
DB01097,Leflunomide,DB08860,Pitavastatin,0.3847010135650635,73,Type_73,The serum concentration of Pitavastatin can be increased when it is combined with Leflunomide.,47,Type_47,No
DB00735,Naftifine,DB01268,Sunitinib,0.4214975833892822,73,Type_73,The serum concentration of Sunitinib can be increased when it is combined with Naftifine.,47,Type_47,No
DB01224,Quetiapine,DB01259,Lapatinib,0.42910826206207275,47,Type_47,The metabolism of Lapatinib can be decreased when combined with Quetiapine.,20,Type_20,No
DB00790,Perindopril,DB01592,Iron,0.44532570242881775,49,Type_49,The risk or severity of adverse effects can be increased when Perindopril is combined with Iron.,49,Type_49,Yes
DB00568,Cinnarizine,DB08880,Teriflunomide,0.409292995929718,70,Type_70,The therapeutic efficacy of Teriflunomide can be decreased when used in combination with Cinnarizine.,75,Type_75,No
DB00313,Valproic acid,DB01580,Oxprenolol,0.3240407109260559,49,Type_49,The risk or severity of adverse effects can be increased when Valproic acid is combined with Oxprenolol.,49,Type_49,Yes
DB00213,Pantoprazole,DB00541,Vincristine,0.49660518765449524,47,Type_47,The metabolism of Vincristine can be decreased when combined with Pantoprazole.,73,Type_73,No
DB00091,Cyclosporine,DB06626,Axitinib,0.44368648529052734,47,Type_47,The metabolism of Axitinib can be decreased when combined with Cyclosporine.,47,Type_47,Yes
DB00433,Prochlorperazine,DB08881,Vemurafenib,0.4660683274269104,75,Type_75,The serum concentration of Vemurafenib can be decreased when it is combined with Prochlorperazine.,33,Type_33,No
DB00285,Venlafaxine,DB01100,Pimozide,0.44213104248046875,20,Type_20,Venlafaxine may increase the QTc-prolonging activities of Pimozide.,73,Type_73,No
DB06210,Eltrombopag,DB11613,Velpatasvir,0.48241809010505676,47,Type_47,The metabolism of Velpatasvir can be decreased when combined with Eltrombopag.,73,Type_73,No
DB00255,Diethylstilbestrol,DB00555,Lamotrigine,0.4229879081249237,70,Type_70,The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Diethylstilbestrol.,75,Type_75,No
DB00238,Nevirapine,DB01426,Ajmaline,0.3685155212879181,47,Type_47,The metabolism of Ajmaline can be decreased when combined with Nevirapine.,47,Type_47,Yes
DB00193,Tramadol,DB08893,Mirabegron,0.4034745991230011,64,Type_64,Tramadol may increase the serotonergic activities of Mirabegron.,70,Type_70,No
DB01238,Aripiprazole,DB01242,Clomipramine,0.36665478348731995,49,Type_49,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Clomipramine.,73,Type_73,No
DB00205,Pyrimethamine,DB00531,Cyclophosphamide,0.4239148795604706,47,Type_47,The metabolism of Cyclophosphamide can be decreased when combined with Pyrimethamine.,47,Type_47,Yes
DB00227,Lovastatin,DB06708,Lumefantrine,0.45412299036979675,47,Type_47,The metabolism of Lumefantrine can be decreased when combined with Lovastatin.,47,Type_47,Yes
DB08873,Boceprevir,DB09280,Lumacaftor,0.4769924283027649,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Boceprevir.,75,Type_75,Yes
DB01182,Propafenone,DB01238,Aripiprazole,0.4664185345172882,73,Type_73,The serum concentration of Aripiprazole can be increased when it is combined with Propafenone.,20,Type_20,No
DB00334,Olanzapine,DB00818,Propofol,0.495217502117157,20,Type_20,Olanzapine may increase the QTc-prolonging activities of Propofol.,49,Type_49,No
DB00206,Reserpine,DB09280,Lumacaftor,0.4279833137989044,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Reserpine.,75,Type_75,Yes
DB00220,Nelfinavir,DB01319,Fosamprenavir,0.46701106429100037,47,Type_47,The metabolism of Fosamprenavir can be decreased when combined with Nelfinavir.,47,Type_47,Yes
DB00248,Cabergoline,DB00390,Digoxin,0.32621070742607117,25,Type_25,Cabergoline may increase the atrioventricular blocking (AV block) activities of Digoxin.,58,Type_58,No
DB01218,Halofantrine,DB09241,Methylene blue,0.3302984833717346,47,Type_47,The metabolism of Methylene blue can be decreased when combined with Halofantrine.,73,Type_73,No
DB00932,Tipranavir,DB06203,Alogliptin,0.4190502464771271,70,Type_70,The therapeutic efficacy of Alogliptin can be decreased when used in combination with Tipranavir.,75,Type_75,No
DB00204,Dofetilide,DB00555,Lamotrigine,0.4801100194454193,82,Type_82,Dofetilide may increase the arrhythmogenic activities of Lamotrigine.,73,Type_73,No
DB00503,Ritonavir,DB01261,Sitagliptin,0.41078490018844604,47,Type_47,The metabolism of Sitagliptin can be decreased when combined with Ritonavir.,70,Type_70,No
DB00175,Pravastatin,DB01241,Gemfibrozil,0.45393869280815125,47,Type_47,The metabolism of Gemfibrozil can be decreased when combined with Pravastatin.,48,Type_48,No
DB00705,Delavirdine,DB00898,Ethanol,0.4537239074707031,47,Type_47,The metabolism of Ethanol can be decreased when combined with Delavirdine.,47,Type_47,Yes
DB00373,Timolol,DB01236,Sevoflurane,0.423560231924057,47,Type_47,The metabolism of Sevoflurane can be decreased when combined with Timolol.,49,Type_49,No
DB00246,Ziprasidone,DB00946,Phenprocoumon,0.41061779856681824,47,Type_47,The metabolism of Phenprocoumon can be decreased when combined with Ziprasidone.,47,Type_47,Yes
DB01154,Thiamylal,DB09289,Tianeptine,0.2704486548900604,47,Type_47,The metabolism of Tianeptine can be decreased when combined with Thiamylal.,4,Type_4,No
DB00257,Clotrimazole,DB00312,Pentobarbital,0.4025762379169464,47,Type_47,The metabolism of Pentobarbital can be decreased when combined with Clotrimazole.,47,Type_47,Yes
DB00273,Topiramate,DB09118,Stiripentol,0.49079543352127075,73,Type_73,The serum concentration of Stiripentol can be increased when it is combined with Topiramate.,49,Type_49,No
DB00503,Ritonavir,DB09039,Eliglustat,0.3534206449985504,73,Type_73,The serum concentration of Eliglustat can be increased when it is combined with Ritonavir.,73,Type_73,Yes
DB00193,Tramadol,DB01104,Sertraline,0.49843114614486694,27,Type_27,Tramadol may increase the neuroexcitatory activities of Sertraline.,27,Type_27,Yes
DB00182,Amphetamine,DB00924,Cyclobenzaprine,0.49668991565704346,23,Type_23,Amphetamine may increase the stimulatory activities of Cyclobenzaprine.,64,Type_64,No
DB00182,Amphetamine,DB00918,Almotriptan,0.4976554214954376,49,Type_49,The risk or severity of adverse effects can be increased when Amphetamine is combined with Almotriptan.,73,Type_73,No
DB00682,Warfarin,DB09079,Nintedanib,0.48455139994621277,49,Type_49,The risk or severity of adverse effects can be increased when Warfarin is combined with Nintedanib.,49,Type_49,Yes
DB00393,Nimodipine,DB01264,Darunavir,0.45421671867370605,73,Type_73,The serum concentration of Darunavir can be increased when it is combined with Nimodipine.,73,Type_73,Yes
DB00422,Methylphenidate,DB00496,Darifenacin,0.49860474467277527,49,Type_49,The risk or severity of adverse effects can be increased when Methylphenidate is combined with Darifenacin.,47,Type_47,No
DB00625,Efavirenz,DB01076,Atorvastatin,0.3803768754005432,73,Type_73,The serum concentration of Atorvastatin can be increased when it is combined with Efavirenz.,75,Type_75,No
DB01197,Captopril,DB01592,Iron,0.48159557580947876,75,Type_75,The serum concentration of Iron can be decreased when it is combined with Captopril.,49,Type_49,No
DB00187,Esmolol,DB00477,Chlorpromazine,0.4801151156425476,49,Type_49,The risk or severity of adverse effects can be increased when Esmolol is combined with Chlorpromazine.,60,Type_60,No
DB00592,Piperazine,DB00715,Paroxetine,0.4574154019355774,47,Type_47,The metabolism of Paroxetine can be decreased when combined with Piperazine.,47,Type_47,Yes
DB00503,Ritonavir,DB00637,Astemizole,0.45133644342422485,47,Type_47,The metabolism of Astemizole can be decreased when combined with Ritonavir.,47,Type_47,Yes
DB00243,Ranolazine,DB00656,Trazodone,0.4239474833011627,73,Type_73,The serum concentration of Trazodone can be increased when it is combined with Ranolazine.,47,Type_47,No
DB00614,Furazolidone,DB01037,Selegiline,0.3698229193687439,71,Type_71,Furazolidone may increase the hypertensive activities of Selegiline.,71,Type_71,Yes
DB00338,Omeprazole,DB00541,Vincristine,0.48370635509490967,47,Type_47,The metabolism of Vincristine can be decreased when combined with Omeprazole.,73,Type_73,No
DB01037,Selegiline,DB01626,Pargyline,0.4263564646244049,60,Type_60,Selegiline may increase the hypotensive activities of Pargyline.,60,Type_60,Yes
DB01264,Darunavir,DB01357,Mestranol,0.45394736528396606,75,Type_75,The serum concentration of Mestranol can be decreased when it is combined with Darunavir.,75,Type_75,Yes
DB00252,Phenytoin,DB01235,Levodopa,0.4387918710708618,49,Type_49,The risk or severity of adverse effects can be increased when Phenytoin is combined with Levodopa.,70,Type_70,No
DB00179,Masoprocol,DB00796,Candesartan cilexetil,0.4828696846961975,37,Type_37,Masoprocol may decrease the antihypertensive activities of Candesartan cilexetil.,49,Type_49,No
DB00206,Reserpine,DB01078,Deslanoside,0.4685095250606537,25,Type_25,Reserpine may increase the atrioventricular blocking (AV block) activities of Deslanoside.,49,Type_49,No
DB00518,Albendazole,DB09280,Lumacaftor,0.46582654118537903,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Albendazole.,4,Type_4,No
DB00091,Cyclosporine,DB00163,Vitamin E,0.4404396414756775,49,Type_49,The risk or severity of adverse effects can be increased when Cyclosporine is combined with Vitamin E.,75,Type_75,No
DB00495,Zidovudine,DB01132,Pioglitazone,0.46838700771331787,47,Type_47,The metabolism of Pioglitazone can be decreased when combined with Zidovudine.,47,Type_47,Yes
DB08918,Levomilnacipran,DB09280,Lumacaftor,0.4699109196662903,73,Type_73,The serum concentration of Lumacaftor can be increased when it is combined with Levomilnacipran.,73,Type_73,Yes
DB00678,Losartan,DB00696,Ergotamine,0.46033838391304016,49,Type_49,The risk or severity of adverse effects can be increased when Losartan is combined with Ergotamine.,49,Type_49,Yes
DB00238,Nevirapine,DB00932,Tipranavir,0.3147284686565399,4,Type_4,The metabolism of Tipranavir can be increased when combined with Nevirapine.,4,Type_4,Yes
DB00338,Omeprazole,DB01238,Aripiprazole,0.4414334297180176,75,Type_75,The serum concentration of Aripiprazole can be decreased when it is combined with Omeprazole.,75,Type_75,Yes
DB01319,Fosamprenavir,DB04868,Nilotinib,0.49165692925453186,73,Type_73,The serum concentration of Nilotinib can be increased when it is combined with Fosamprenavir.,47,Type_47,No
DB00927,Famotidine,DB01072,Atazanavir,0.4029664695262909,20,Type_20,Famotidine may increase the QTc-prolonging activities of Atazanavir.,75,Type_75,No
DB00424,Hyoscyamine,DB01390,Sodium bicarbonate,0.3365892171859741,73,Type_73,The serum concentration of Sodium bicarbonate can be increased when it is combined with Hyoscyamine.,75,Type_75,No
DB00227,Lovastatin,DB08883,Perampanel,0.4012632966041565,47,Type_47,The metabolism of Perampanel can be decreased when combined with Lovastatin.,47,Type_47,Yes
DB00227,Lovastatin,DB09280,Lumacaftor,0.4504672884941101,73,Type_73,The serum concentration of Lumacaftor can be increased when it is combined with Lovastatin.,4,Type_4,No
DB00266,Dicoumarol,DB06701,Dexmethylphenidate,0.43661922216415405,73,Type_73,The serum concentration of Dexmethylphenidate can be increased when it is combined with Dicoumarol.,73,Type_73,Yes
DB01580,Oxprenolol,DB01623,Thiothixene,0.3502064049243927,49,Type_49,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Thiothixene.,49,Type_49,Yes
DB01026,Ketoconazole,DB01232,Saquinavir,0.4261433184146881,73,Type_73,The serum concentration of Saquinavir can be increased when it is combined with Ketoconazole.,73,Type_73,Yes
DB00224,Indinavir,DB01098,Rosuvastatin,0.48990586400032043,73,Type_73,The serum concentration of Rosuvastatin can be increased when it is combined with Indinavir.,73,Type_73,Yes
DB00243,Ranolazine,DB01208,Sparfloxacin,0.45307159423828125,73,Type_73,The serum concentration of Sparfloxacin can be increased when it is combined with Ranolazine.,73,Type_73,Yes
DB00503,Ritonavir,DB04876,Vildagliptin,0.45045650005340576,47,Type_47,The metabolism of Vildagliptin can be decreased when combined with Ritonavir.,70,Type_70,No
DB00999,Hydrochlorothiazide,DB01359,Penbutolol,0.49637261033058167,49,Type_49,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Penbutolol.,49,Type_49,Yes
DB01221,Ketamine,DB09280,Lumacaftor,0.43833550810813904,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Ketamine.,73,Type_73,No
DB00687,Fludrocortisone,DB01656,Roflumilast,0.45706555247306824,34,Type_34,Fludrocortisone may increase the immunosuppressive activities of Roflumilast.,34,Type_34,Yes
DB00641,Simvastatin,DB01076,Atorvastatin,0.40033435821533203,49,Type_49,The risk or severity of adverse effects can be increased when Simvastatin is combined with Atorvastatin.,49,Type_49,Yes
DB00320,Dihydroergotamine,DB00584,Enalapril,0.46680691838264465,47,Type_47,The metabolism of Enalapril can be decreased when combined with Dihydroergotamine.,47,Type_47,Yes
DB00705,Delavirdine,DB09123,Dienogest,0.2861885726451874,75,Type_75,The serum concentration of Dienogest can be decreased when it is combined with Delavirdine.,47,Type_47,No
DB00542,Benazepril,DB08873,Boceprevir,0.4509127140045166,73,Type_73,The serum concentration of Boceprevir can be increased when it is combined with Benazepril.,75,Type_75,No
DB04839,Cyproterone acetate,DB06203,Alogliptin,0.4075746536254883,75,Type_75,The serum concentration of Alogliptin can be decreased when it is combined with Cyproterone acetate.,70,Type_70,No
DB00613,Amodiaquine,DB01076,Atorvastatin,0.44264525175094604,47,Type_47,The metabolism of Atorvastatin can be decreased when combined with Amodiaquine.,73,Type_73,No
DB00440,Trimethoprim,DB08880,Teriflunomide,0.45963868498802185,73,Type_73,The serum concentration of Teriflunomide can be increased when it is combined with Trimethoprim.,47,Type_47,No
DB01071,Mequitazine,DB06708,Lumefantrine,0.47686952352523804,82,Type_82,Mequitazine may increase the arrhythmogenic activities of Lumefantrine.,47,Type_47,No
DB04876,Vildagliptin,DB09289,Tianeptine,0.34571465849876404,47,Type_47,The metabolism of Tianeptine can be decreased when combined with Vildagliptin.,73,Type_73,No
DB00188,Bortezomib,DB01320,Fosphenytoin,0.49303343892097473,4,Type_4,The metabolism of Fosphenytoin can be increased when combined with Bortezomib.,75,Type_75,No
DB01236,Sevoflurane,DB01267,Paliperidone,0.4657887816429138,20,Type_20,Sevoflurane may increase the QTc-prolonging activities of Paliperidone.,20,Type_20,Yes
DB00469,Tenoxicam,DB09280,Lumacaftor,0.4592595100402832,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Tenoxicam.,75,Type_75,Yes
DB01041,Thalidomide,DB01124,Tolbutamide,0.47035688161849976,70,Type_70,The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Thalidomide.,47,Type_47,No
DB01026,Ketoconazole,DB09216,Tolfenamic acid,0.38171079754829407,47,Type_47,The metabolism of Tolfenamic acid can be decreased when combined with Ketoconazole.,49,Type_49,No
