"Drug_ID","Segmented_SMILE"
"DB00126","[H];H][;][C;[C@;C@@;@@];@]1;]1(;1(O;(OC;OC(;C(=;(=O;=O);O)C;)C(;C(O;(O);O)=;)=C;=C1;C1O;1O);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CO"
"DB00130","N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC(;C(N;(N);N)=;)=O;=O);O)C;)C(;C(O;(O);O)=;)=O"
"DB00134","CSC;SCC;CC[;C[C;[C@;C@H;@H];H](;](N;(N);N)C;)C(;C(O;(O);O)=;)=O"
"DB00136","C[C;[C@;C@H;@H];H](;](C;(CC;CCC;CCC;CC(;C(C;(C);C)(;)(C;(C);C)O;)O);O)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])\;)\C;\C(;C(C;(CC;CCC;CC[;C[C;[C@;C@];@]1;]12;12C;2C);C)=;)=C;=C\;C\C;\C=;C=C;=C1;C1\;1\C;\C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)C[;C[C;[C@;C@H;@H];H](;](O;(O);O)C;)C1;C1=;1=C"
"DB00140","CC1;C1=;1=C;=C(;C(C;(C);C)C;)C=;C=C;=C2;C2N;2N(;N(C;(C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)C;)CO;CO);O)C;)C3;C3=;3=N;=NC;NC(;C(=;(=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)C;)C3;C3=;3=N;=NC;NC2;C2=;2=C;=C1"
"DB00142","N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(O;(O);O)=;)=O"
"DB00146","C[C;[C@;C@H;@H];H](;](C;(CC;CCC;CCC;CC(;C(C;(C);C)(;)(C;(C);C)O;)O);O)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])\;)\C;\C(;C(C;(CC;CCC;CC[;C[C;[C@;C@];@]1;]12;12C;2C);C)=;)=C;=C\;C\C;\C=;C=C;=C1;C1\;1\C;\C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CC;CCC;CC1;C1=;1=C"
"DB00150","N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=CC;CC=;C=C;=C2;C2);2)C;)C(;C(O;(O);O)=;)=O"
"DB00152","CC1;C1=;1=C;=C(;C(C;(CC;CCO;CO);O)S;)SC;SC=;C=[;=[N;[N+;N+];+]1;]1C;1CC;CC1;C1=;1=C;=CN;CN=;N=C;=C(;C(C;(C);C)N;)N=;N=C;=C1;C1N"
"DB00153","CC(;C(C;(C);C)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)\;)\C;\C=;C=C;=C\;C\[;\[C;[C@;C@@;@@H;@H];H](;](C;(C);C)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])\;)\C;\C(;C(C;(CC;CCC;CC[;C[C;[C@;C@];@]1;]12;12C;2C);C)=;)=C;=C\;C\C;\C=;C=C;=C1;C1\;1\C;\C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CC;CCC;CC1;C1=;1=C"
"DB00158","NC1;C1=;1=N;=NC;NC(;C(=;(=O;=O);O)C;)C2;C2=;2=N;=NC;NC(;C(C;(CN;CNC;NC3;C3=;3=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C3;C3);3)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(O;(O);O)=;)=O;=O);O)=;)=C;=CN;CN=;N=C;=C2;C2N;2N1"
"DB00162","C\C;\C(;C(=;(=C;=C/;C/C;/CO;CO);O)\;)\C;\C=;C=C;=C\;C\C;\C=;C=C;=C(;C(/;(/C;/C);C)\;)\C;\C=;C=C;=C\;C\C;\C1;C1=;1=C;=C(;C(C;(C);C)C;)CC;CCC;CCC;CC1;C1(;1(C;(C);C)C"
"DB00163","CC(;C(C;(C);C)C;)CC;CCC;CC[;C[C;[C@;C@@;@@H;@H];H](;](C;(C);C)C;)CC;CCC;CC[;C[C;[C@;C@@;@@H;@H];H](;](C;(C);C)C;)CC;CCC;CC[;C[C;[C@;C@];@]1;]1(;1(C;(C);C)C;)CC;CCC;CC2;C2=;2=C;=C(;C(O;(O1;O1);1)C;)C(;C(C;(C);C)=;)=C;=C(;C(C;(C);C)C;)C(;C(O;(O);O)=;)=C;=C2;C2C"
"DB00165","CC1;C1=;1=C;=C(;C(O;(O);O)C;)C(;C(C;(CO;CO);O)=;)=C;=C(;C(C;(CO;CO);O)C;)C=;C=N;=N1"
"DB00166","OC(;C(=;(=O;=O);O)C;)CC;CCC;CCC;CC[;C[C;[C@;C@@;@@H;@H];H]1;]1C;1CC;CCS;CSS;SS1"
"DB00169","CC(;C(C;(C);C)C;)CC;CCC;CC[;C[C;[C@;C@@;@@H;@H];H](;](C;(C);C)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])\;)\C;\C(;C(C;(CC;CCC;CC[;C[C;[C@;C@];@]1;]12;12C;2C);C)=;)=C;=C\;C\C;\C=;C=C;=C1;C1\;1\C;\C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CC;CCC;CC1;C1=;1=C"
"DB00170","CC1;C1=;1=C;=CC;CC(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2C;2C1;C1=;1=O"
"DB00175","[H];H][;][C;[C@;C@];@]1;]12;12[;2[C;[C@;C@H;@H];H](;](C;(C[;C[C;[C@;C@H;@H];H](;](O;(O);O)C;)C=;C=C;=C1;C1C;1C=;C=C;=C[;C[C;[C@;C@H;@H];H](;](C;(C);C)[;)[C;[C@;C@@;@@H;@H];H]2;]2C;2CC;CC[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CC;CC(;C(O;(O);O)=;)=O;=O);O)O;)OC;OC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)C;)CC"
"DB00176","COC;OCC;CCC;CCC;CC\;C\C;\C(;C(=;(=N;=N/;N/O;/OC;OCC;CCN;CN);N)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C(;C(F;(F);F)(;)(F;(F);F)F"
"DB00177","CCC;CCC;CCC;CC(;C(=;(=O;=O);O)N;)N(;N(C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1C;1C1;C1=;1=N;=NN;NNN;NN=;N=N;=N1;N1);1)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C(;C(C;(C);C)C;)C);C)C;)C(;C(O;(O);O)=;)=O"
"DB00178","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CCC;CC[;C[C;[C@;C@];@]1;]1(;1([;([H;[H];H]);])N;)N(;N([;([C;[C@;C@@;@@H;@H];H](;](C;(C2;C2);2)C;)C(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(C);C)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C(;C(=;(=O;=O);O)O;)OC;OCC"
"DB00179","C[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC(;C(O;(O);O)=;)=C;=C(;C(O;(O);O)C;)C=;C=C;=C1;C1);1)[;)[C;[C@;C@H;@H];H](;](C;(C);C)C;)CC;CC1;C1=;1=C;=CC;CC(;C(O;(O);O)=;)=C;=C(;C(O;(O);O)C;)C=;C=C;=C1"
"DB00180","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C[;C[C;[C@;C@@;@@];@]3;]3(;3([;([H;[H];H]);])[;)[C;[C@;C@];@]4;]4(;4([;([H;[H];H]);])C;)C[;C[C;[C@;C@H;@H];H](;](F;(F);F)C;)C5;C5=;5=C;=CC;CC(;C(=;(=O;=O);O)C;)C=;C=C;=C[;C[C;[C@;C@];@]5;]5(;5(C;(C);C)[;)[C;[C@;C@@;@@];@]4;]4(;4([;([H;[H];H]);])[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)C[;C[C;[C@;C@];@]3;]3(;3(C;(C);C)[;)[C;[C@;C@@;@@];@]1;]1(;1(O;(OC;OC(;C(C;(C);C)(;)(C;(C);C)O;)O2;O2);2)C;)C(;C(=;(=O;=O);O)C;)CO"
"DB00181","NCC;CC(;C(C;(CC;CC(;C(O;(O);O)=;)=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C1"
"DB00182","CC(;C(N;(N);N)C;)CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00184","CN1;N1C;1CC;CCC;CC[;C[C;[C@;C@H;@H];H]1;]1C;1C1;C1=;1=C;=CN;CN=;N=C;=CC;CC=;C=C;=C1"
"DB00185","CC1;C1O;1O[;O[C;[C@;C@@;@@];@]2;]2(;2(C;(CS;CS1;S1);1)C;)CN;CN1;N1C;1CC;CCC;CC2;C2C;2CC;CC1"
"DB00186","OC1;C1N;1N=;N=C;=C(;C(C;(C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2C;2Cl;Cl);l)C;)C2;C2=;2=C;=C(;C(N;(NC;NC1;C1=;1=O;=O);O)C;)C=;C=C;=CC;CC(;C(C;(Cl;Cl);l)=;)=C;=C2"
"DB00187","COC;OC(;C(=;(=O;=O);O)C;)CC;CCC;CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(OC;OCC;CC(;C(O;(O);O)C;)CN;CNC;NC(;C(C;(C);C)C;)C);C)C;)C=;C=C;=C1"
"DB00188","CC(;C(C;(C);C)C;)C[;C[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)N;)NC;NC(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=CN;CN=;N=C;=CC;CC=;C=N;=N1;N1);1)B;)B(;B(O;(O);O)O"
"DB00189","CCC;CC(;C(O;(O);O)(;)(\;(\C;\C=;C=C;=C\;C\C;\Cl;Cl);l)C;)C#;C#C"
"DB00190","C[C;[C@;C@@;@@];@](;](C;(CC;CC1;C1=;1=C;=CC;CC(;C(O;(O);O)=;)=C;=C(;C(O;(O);O)C;)C=;C=C;=C1;C1);1)(;)(N;(NN;NN);N)C;)C(;C(O;(O);O)=;)=O"
"DB00191","CC(;C(C;(C);C)(;)(N;(N);N)C;)CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00193","COC;OC1;C1=;1=C;=CC;CC=;C=C;=CC;CC(;C(=;(=C;=C1;C1);1)[;)[C;[C@;C@@;@@];@]1;]1(;1(O;(O);O)C;)CC;CCC;CCC;CC[;C[C;[C@;C@@;@@H;@H];H]1;]1C;1CN;CN(;N(C;(C);C)C"
"DB00195","CC(;C(C;(C);C)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;COC;OC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(CC;CCO;COC;OCC;CC2;C2C;2CC;CC2;C2);2)C;)C=;C=C;=C1"
"DB00196","OC(;C(C;(CN;CN1;N1C;1C=;C=N;=NC;NC=;C=N;=N1;N1);1)(;)(C;(CN;CN1;N1C;1C=;C=N;=NC;NC=;C=N;=N1;N1);1)C;)C1;C1=;1=C;=C(;C(F;(F);F)C;)C=;C=C;=C(;C(F;(F);F)C;)C=;C=C;=C1"
