"Drug_ID","Interaction_Types"
"DB00202","17;21;40;54;70;73;8;82"
"DB00203","10;11;38;4;47;49;60;73;75;77"
"DB00204","20;33;4;72;73;75;82"
"DB00205","33;47;49;70;73;77"
"DB00206","10;16;30;32;35;36;37;49;60;61;70;72;73;75;77;8;82"
"DB00207","11;20;33;4;47;48;49;70;73;75;77"
"DB00208","11;4;47;49;53;6;70;73;75;77"
"DB00209","16;2;39;49;59;70;73;75;77;85"
"DB00210","27;29;37;49;57;6;66;67;68;70;72;73"
"DB00211","49;5;54;70;71;73;75;77;84;85"
"DB00212","10;37;4;47;49;60;70;73;75"
"DB00213","11;18;4;47;67;70;73;75;77"
"DB00214","10;17;20;29;30;37;4;47;49;56;57;60;67;70;73;75;82;83"
"DB00215","11;20;27;33;4;45;47;49;53;55;6;64;66;70;73;75;77;9"
"DB00216","19;4;47;49;64;71;73;75"
"DB00217","10;25;37;60;70"
"DB00218","15;20;33;49;58;70;82"
"DB00219","2;39;49;59;70;73;85"
"DB00220","11;20;4;47;49;70;73;75;77"
"DB00221","14;33;49;5;70;71;83;85"
"DB00222","34;4;43;47;49;50;6;70;73;75;8;9"
"DB00223","22;3;49;6;67;70;73;74;75;78;83"
"DB00224","11;4;47;49;70;73;75;77"
"DB00226","10;37;60;70"
"DB00227","11;4;47;48;49;6;73;75;77;80"
"DB00228","16;21;32;47;49;71;75;8;82"
"DB00229","6;70;73"
"DB00230","16;21;32;4;47;49;50;60;70;73;75;8"
"DB00231","16;32;4;47;49;70;73;75;8"
"DB00232","20;30;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB00233","29;37;49;6;70;73;9"
"DB00234","4;47;73;75;77"
"DB00235","49;53;6;60"
"DB00236","15;49;58"
"DB00237","16;32;49;8"
"DB00238","11;4;47;49;70;73;75;77"
"DB00239","13;33;4;47;49;67;70;73;75"
"DB00240","22;3;4;47;49;6;67;70;73;74;75;83"
"DB00241","16;32;49;8"
"DB00242","15;34;49;58;73;75"
"DB00243","11;20;4;47;48;49;70;73;75;77"
"DB00244","27;29;37;47;49;57;6;66;67;68;70;72;73;75;9"
"DB00245","2;39;4;45;47;49;59;70;73;75;76;85"
"DB00246","11;16;20;32;33;35;36;4;47;49;61;70;73;75;77;8;82"
"DB00247","49;62"
"DB00248","15;19;4;47;49;58;62;64;70;71;73;75"
"DB00250","4;47;49;70;73;75"
"DB00251","13;33;47;49;67;70;73;75"
"DB00252","11;16;17;29;32;4;43;47;49;6;70;73;75;77;80"
"DB00253","22;3;49;6;67;70;73;74;75;78;83"
"DB00254","11;21;33;47;49;6;67;70;73;75;80"
"DB00255","11;12;15;28;4;47;49;58;70;73;75;81"
"DB00256","70"
"DB00257","11;13;33;47;49;67;70;73;75;77"
"DB00258","49;67;70;72;75;82"
"DB00259","49;70;73;77"
"DB00260","35;49;70"
"DB00261","15;20;33;47;49;53;58;6;60;73;75"
"DB00262","15;34;47;49;58;63;73;75"
"DB00263","11;20;4;47;49;57;6;73;75;8;9"
"DB00264","10;14;19;25;30;37;4;46;47;49;54;60;70;73;75;77;9"
"DB00266","12;4;47;49;6;66;67;70;73;75"
"DB00267","6;70;73"
"DB00268","11;19;25;30;32;37;4;47;49;60;70;71;73;75;77"
"DB00270","10;11;20;21;30;37;4;47;49;60;70;73;75"
"DB00271","49"
"DB00273","11;16;32;47;49;70;73;75;83"
"DB00274","6;70;73"
"DB00275","10;30;37;49;57;60;68;70;73;82"
"DB00276","15;34;47;49;58;73;77"
"DB00277","14;4;47;49;60;70;73;75;77"
"DB00278","12;4;47;49;53;6;66;70;73;75"
"DB00279","4;49;6;70;73;75;82"
"DB00280","20;33;4;47;49;54;73;75;82;9"
"DB00281","16;32;4;47;49;73;75;77;8;82"
"DB00282","15;24;49;57;58;70;75"
"DB00283","11;16;2;32;47;49;70;73;76;77;8"
"DB00284","50;70;75;8;9"
"DB00285","11;20;27;37;4;45;47;49;53;55;64;66;70;73;75;77;85;9"
"DB00287","10;37;60;70"
"DB00288","22;3;49;6;67;70;73;74;75;78;83"
"DB00289","11;20;4;44;47;49;70;71;73;75;77;85"
"DB00290","15;34;49;58;75"
"DB00291","15;34;49;58"
"DB00292","16;25;32;37;49;70;8"
"DB00293","15;49;58;70"
"DB00294","11;12;4;47;70;73;75;81"
"DB00295","16;26;30;32;39;4;47;49;54;60;64;65;69;70;73;75;77;8"
"DB00296","16;30;32;4;47;49;60;73;75;8"
"DB00297","16;30;32;4;47;49;60;73;75;8"
"DB00298","16;32;33;35;36;49;61;70;8;82"
"DB00300","47;49;57;70;72;73;75"
"DB00301","11;12;70;73;75"
"DB00302","81"
"DB00303","70;73;75"
"DB00304","11;12;70;73;75;81"
"DB00305","15;34;49;58;73;77"
"DB00307","15;4;47;49;58;73;75"
"DB00308","20;33;82"
"DB00309","15;34;4;49;58;73;75"
"DB00310","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB00312","11;16;30;32;4;47;49;60;70;73;75;77;8"
"DB00313","16;32;4;47;49;70;73;75;77;80"
"DB00314","21;70"
"DB00315","19;47;49;64;71;73;75"
"DB00316","4;47;49;6;73;75;77;80"
"DB00317","15;47;49;58;6;73;75;77"
"DB00318","16;32;39;4;47;49;54;60;64;65;69;70;73;75;77;8"
"DB00319","11;21;57;6;70;73;75"
"DB00320","11;19;25;37;4;47;49;62;64;70;71;73;75;77"
"DB00321","16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;77;8;82;84"
"DB00322","15;34;47;49;58;73;77"
"DB00323","16;30;32;47;49;60;70;8"
"DB00324","22;3;4;47;49;6;67;70;73;74;75;83"
"DB00325","10;30;37;49;60;70"
"DB00326","49;67;70;72;75;82"
"DB00327","16;32;39;4;47;49;54;60;64;65;69;70;73;75;8"
"DB00328","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75;77"
"DB00330","67;70"
"DB00331","49;50;70;73;75;8;9"
"DB00332","2;39;4;47;49;59;70;73;75;85"
"DB00333","11;16;20;32;33;39;4;47;49;54;60;64;65;69;70;73;75;77;8;82"
"DB00334","16;18;20;32;35;36;47;49;61;64;67;70;73;75;77;8;82"
"DB00335","10;14;19;25;3;30;37;46;47;49;54;60;70;73;75;77;9"
"DB00336","47;73"
"DB00337","27;29;34;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00338","11;18;26;4;47;49;67;70;73;75;77"
"DB00339","4;47;70;73;75;80"
"DB00340","2;39;49;59;70;73;85"
"DB00341","16;32;49;70;76;8"
"DB00343","10;11;21;25;30;35;37;4;47;49;54;6;60;67;70;73;75;77"
"DB00344","16;20;23;27;30;32;33;35;37;4;47;49;6;60;64;70;73;77;8;82;84"
"DB00345","49;73;77"
"DB00346","10;20;30;4;47;5;60;73;75"
"DB00347","4;47;70;73;75"
"DB00349","11;16;32;4;47;49;70;73;75;77"
"DB00350","10;30;37;49;60;70;73"
"DB00351","15;49;58;70;73;77"
"DB00352","15;34;47;49;58"
"DB00353","19;49;62;71;73"
"DB00354","70;76"
"DB00355","70"
"DB00356","16;32;4;47;49;73;75;8"
"DB00357","15;49;58;73;75"
"DB00358","17;20;33;4;47;49;54;70;73;75;77"
"DB00359","4;47;49;57;6;73;75;9"
"DB00360","49;60;75"
"DB00361","15;34;35;4;47;49;58;73;75;77"
"DB00362","13;47;49;67;70;73;75"
"DB00363","11;16;20;30;32;35;36;4;47;49;60;61;63;70;73;75;77;8;82"
"DB00364","12;67;73;75"
"DB00366","16;2;32;49;70;76"
"DB00367","11;12;4;47;70;73;75;81"
"DB00368","25;37;45;49;5;70;71;73;82;83;85"
"DB00369","72;73"
"DB00370","16;20;27;30;32;35;37;4;47;49;6;60;64;70;73;75;76;77;82;84"
"DB00371","16;32;4;47;49;70;73;75;77"
"DB00373","10;14;19;25;30;37;4;46;47;49;54;60;70;73;75;77;9"
"DB00374","10;18;20;37;4;47;49;53;6;60;70;73;75"
"DB00375","11;3;67;70;75"
"DB00376","2;39;49;59;70;73;85"
"DB00377","4;47;52;60;64;73;75"
"DB00378","70"
"DB00379","4;47;73;75"
"DB00380","15;49;58;70"
"DB00381","10;11;21;30;37;4;47;49;60;70;73;75;77"
"DB00384","30;37;42;47;49;56;57;60;68;70;73;75"
"DB00385","15;21;24;40;49;57;58;7;72;73;75"
"DB00387","2;39;49;59;70;73;85"
"DB00388","45;49;5;70;71;73;75;84;85"
"DB00389","12;70;73;75"
"DB00390","25;4;47;49;54;58;67;70;73;75;77;82"
"DB00391","16;2;32;33;35;36;49;61;70;75;8;82"
"DB00392","2;39;49;59;70;73;76;85"
"DB00393","10;21;30;37;4;47;49;60;70;73;75"
"DB00394","22;3;49;6;67;70;73;74;75;78;83"
"DB00395","16;32;4;47;49;73;75;77;8"
"DB00396","13;4;47;49;70;72;73;75;77"
"DB00397","14;49;5;70;71;83;85"
"DB00398","15;20;34;4;47;49;58;6;73;75;77;80"
"DB00399","24;49;70;75"
"DB00400","13;4;47;49;67;70;73;75"
"DB00401","10;21;30;37;4;47;49;60;70;73;75;77"
"DB00402","16;32;4;47;49;73;75;76;8"
"DB00404","16;32;4;47;49;70;73;75;8"
"DB00405","16;32;49;70;76;8"
"DB00408","16;32;33;35;36;49;61;70;77;8;82"
"DB00409","16;32;33;35;36;47;49;61;70;73;8;82"
"DB00410","70"
"DB00411","49;70"
"DB00412","11;4;47;49;50;6;70;73;75;77;8;9"
"DB00413","30;32;49;60;70;73"
"DB00415","11;3;6;70;72;73;75;86"
"DB00417","11;6;70;72;73;75"
"DB00418","16;30;32;4;47;49;60;70;73;75;8"
"DB00419","50;70;8;9"
"DB00420","11;16;20;32;35;36;4;47;49;60;61;67;70;73;75;77;8;82"
"DB00421","21;30;37;42;49;5;56;57;60;68;70;73;77;82"
"DB00422","18;37;45;47;49;71;73;77"
"DB00423","16;32;49;70;8"
"DB00424","2;39;49;59;70;73;75;85"
"DB00425","16;32;4;47;49;73;75;76"
"DB00426","4;47;73;75"
"DB00427","16;32;49;70;73;76;77;8"
"DB00428","15;21;24;34;40;49;57;58;7;72;73;75"
"DB00429","49;70"
"DB00430","70"
"DB00432","15;49;58"
"DB00433","16;32;33;35;36;4;47;49;60;61;67;70;73;75;8;82"
"DB00434","16;2;32;49;70;76;8"
"DB00435","30;47;49;60;73;75"
"DB00436","10;20;25;30;37;49;51;54;55;56;57;60;67;70;72;73;82;83;86"
"DB00437","49;6;67;70;73;77;86"
"DB00438","6;70;73"
"DB00440","20;33;4;47;49;63;68;72;73;75;77"
"DB00441","15;34;49;58;6;73;75"
"DB00442","49;80"
"DB00443","22;3;34;49;6;67;70;73;74;75;78;83"
"DB00444","15;34;35;4;47;49;58;73;75"
"DB00445","15;21;24;34;40;49;57;58;7;72;73;75"
"DB00446","11;4;47;49;6;70;73;75"
"DB00448","11;18;28;4;47;49;67;70;73;75;77"
"DB00449","25;37;49;5;70;71;83;85"
"DB00450","16;20;32;33;49;61;70;82"
"DB00451","4;47;49;6;67;70;73;75;82"
"DB00452","21;24;40;49;57;7;70;72;73;75"
"DB00453","70"
"DB00454","16;32;39;4;41;47;49;54;60;64;65;69;70;73;75;8"
"DB00455","16;32;4;47;49;70;73;75;76;77;8"
"DB00456","6;70;73"
"DB00457","10;30;37;49;5;60;70;73;75;77"
"DB00458","11;16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;77;8;82;84"
"DB00459","49;70;80"
"DB00460","1;15;49;58"
"DB00461","27;29;37;47;49;53;57;6;66;67;68;70;72;73;75;81"
"DB00462","2;39;49;59;70;73;85"
"DB00465","27;29;37;49;57;6;66;67;68;70;72;73"
"DB00467","15;27;33;47;49;58;6;67;70;73;75;9"
"DB00468","11;20;21;33;4;47;49;6;60;70;73;75;77;9"
"DB00469","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00470","16;47;73;75;77;85"
"DB00471","4;47;70;73;75"
"DB00472","11;20;27;33;4;45;47;49;53;55;6;64;66;70;73;75;77;9"
"DB00474","16;30;32;4;47;49;60;70;73;75;8"
"DB00475","16;32;4;47;49;70;73;75;8"
"DB00476","11;27;30;37;45;47;49;53;55;6;64;66;70;73;75;77;85;9"
"DB00477","11;16;20;30;32;33;35;36;4;47;49;60;61;67;70;72;73;75;77;8;82"
"DB00479","21;24;40;49;57;7;70;72;73;75"
"DB00480","15;34;49;58;73;75;81"
"DB00481","4;47;49;67;73;75"
"DB00482","11;27;29;37;4;47;49;53;57;6;66;67;68;70;72;73;75;77;81"
"DB00483","17;2;21;39;40;49;54;59;70;73;82;85"
"DB00484","10;16;25;30;32;37;49;5;54;60;70;71;85"
"DB00485","11;12;70;72;73;75"
"DB00486","16;30;32;49;60;70;85"
"DB00487","15;27;33;47;49;58;6;67;70;73;75;9"
"DB00488","15;30;34;49;58;70"
"DB00489","19;20;25;30;33;37;46;47;49;54;60;70;73;75;9"
"DB00490","16;32;4;45;47;49;64;70;73;75;77;8"
"DB00491","50;70;8;9"
"DB00492","10;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00493","6;70;73"
"DB00494","16;32;47;49;70;73;77;8"
"DB00495","16;4;47;48;49;63;70;73;75"
"DB00496","11;2;39;4;47;49;59;70;73;75;77;85"
"DB00497","16;32;39;4;47;49;54;60;64;65;69;70;73;75;8"
"DB00498","12;4;47;49;6;66;67;70;73;75"
"DB00499","15;4;47;49;58;70;73;75"
"DB00500","27;29;37;49;57;6;66;67;68;70;72;73"
"DB00501","11;18;47;49;6;63;67;70;72;73;75;76;77"
"DB00502","11;16;20;32;33;35;36;4;47;49;61;70;73;75;77;8;82"
"DB00503","11;20;4;47;49;70;73;75;77"
"DB00504","49"
"DB00508","16;32;33;35;36;49;60;61;67;70;73;77;8;82"
"DB00511","25;49;54;58;67;70;73;75;82"
"DB00512","21;57;70;73"
"DB00513","81"
"DB00514","4;47;49;64;73;75;77"
"DB00515","15;34;49;57;58;63;70;73;75"
"DB00517","2;39;49;59;70;73;85"
"DB00518","11;15;4;47;49;58;73;75;77"
"DB00519","10;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00520","13;47;49;67;70;73;75;77"
"DB00521","10;14;19;25;30;37;46;47;49;54;60;70;73;75;77;9"
"DB00523","15;49;58;70;73;75;80"
"DB00524","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB00525","13;47;49;67;70;73;75"
"DB00526","15;33;34;47;49;58;63;73;75"
"DB00527","16;32;49;8"
"DB00528","10;21;30;37;4;47;49;60;70;73;75;77"
"DB00529","20;49;57;73"
"DB00530","15;4;47;49;58;73;75"
"DB00531","15;34;4;47;49;58;73;75;77;80"
"DB00535","70;75"
"DB00537","15;20;33;49;58;70;73;75;77;82"
"DB00539","15;20;33;47;49;51;58;6;70;73;75"
"DB00540","16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;77;8;82;84"
"DB00541","15;34;35;4;47;49;58;73;75;77"
"DB00542","10;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00543","16;20;23;27;30;32;33;35;37;4;45;47;49;6;60;64;70;73;8;82;84"
"DB00544","15;34;4;47;49;58;73;75"
"DB00545","17;49;54;70;73;75"
"DB00546","4;47;70;73;75"
"DB00547","22;3;49;6;67;70;73;74;75;78;83"
"DB00548","15;49;58"
"DB00549","4;47;49;70;73;75;77"
"DB00550","12;49;70;73"
"DB00551","49"
"DB00552","15;34;49;58"
"DB00553","1;11;4;47;73;75;77"
"DB00554","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00555","16;21;32;4;47;49;60;70;73;75"
"DB00556","20"
"DB00557","16;20;32;49;70;73;76;77"
"DB00559","10;37;4;60;70;72;73;75;77;80"
"DB00560","70;73"
"DB00561","71"
"DB00562","49"
"DB00563","15;34;49;57;58;67;70;73;75;80"
"DB00564","11;16;25;32;4;47;49;63;70;73;75;77"
"DB00565","17;21;40;82"
"DB00567","4;47;6;70;73;75"
"DB00568","21;4;47;49;60;70;73;75;76"
"DB00569","12;49;6;66;70"
"DB00570","15;34;4;47;49;58;72;73;75;77"
"DB00571","10;19;25;30;37;4;46;47;49;54;60;70;73;75;77;9"
"DB00572","2;39;49;59;70;71;73;85"
"DB00573","27;29;37;49;57;6;66;67;68;70;72;73"
"DB00575","10;16;25;30;32;37;4;47;49;5;54;60;70;71;73;75;8;85"
"DB00576","49"
"DB00577","16;57;72;73"
"DB00578","11;6;70;73;75"
"DB00581","70"
"DB00582","11;13;20;4;47;49;67;70;73;75;77"
"DB00583","6"
"DB00584","10;30;37;4;47;49;57;60;63;68;70;73;75;77;82;86"
"DB00585","18;67;70;73;75;76"
"DB00586","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75;77"
"DB00588","16;22;3;32;4;47;49;6;67;70;73;74;75;8;83"
"DB00589","19;4;47;49;62;71;73;75"
"DB00590","10;30;37;4;47;49;5;60;70;73;75;77"
"DB00591","22;3;49;6;67;70;73;74;75;78;83"
"DB00592","47;70;73;75"
"DB00593","16;32;4;47;49;70;73;75"
"DB00594","30;37;42;49;56;57;60;68;70;73"
"DB00595","70"
"DB00596","22;3;49;6;67;70;73;74;75;78;83"
"DB00598","10;19;25;30;37;46;47;49;5;54;60;70;71;73;75;77;85;9"
"DB00599","16;30;32;4;47;49;60;70;73;75;8"
"DB00601","49;64;70;71"
"DB00602","4;47;6;73;75;77"
"DB00603","11;12;15;4;47;49;58;70;73;75;81"
"DB00604","20;33;4;47;49;73;75;77;82"
"DB00605","15;27;29;37;47;49;57;58;6;66;67;68;70;72;73"
"DB00606","10;37;49;56;57;60;70"
"DB00607","11;12;4;70;72;73;75"
"DB00608","11;20;27;29;33;37;4;47;49;57;6;66;67;68;70;72;73;75;77"
"DB00609","49;70;73"
"DB00610","49;5;70;71;75;84;85"
"DB00611","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB00612","10;14;19;25;30;37;4;46;47;49;54;60;70;73;75;9"
"DB00613","33;4;47;49;73;75;77"
"DB00614","2;27;30;31;41;44;47;49;60;64;71;73;79;8;9"
"DB00615","11;4;47;49;70;73;75;77;80"
"DB00617","4;47;70;73;75"
"DB00618","21;49;6;67;70;75;80"
"DB00619","11;15;28;34;4;47;49;58;6;73;75;77;80"
"DB00620","22;3;34;4;47;49;6;67;70;73;74;75;83"
"DB00621","6;74;80;9"
"DB00622","10;11;20;21;30;37;4;47;49;60;70;73;75;77"
"DB00623","16;32;33;35;36;47;49;60;61;67;70;73;77;8;82"
"DB00624","4;47;49;6;73;74;75;77;80;9"
"DB00625","11;16;32;4;47;49;70;73;75;77"
"DB00626","57;70"
"DB00627","49;67;70;73;77"
"DB00628","16;32;4;47;49;70;73;75"
"DB00629","10;25;37;47;5;60;70;71;73;75;85"
"DB00630","24;49;70;75"
"DB00631","15;30;34;49;58;60;73;75"
"DB00633","16;25;30;32;37;47;49;5;54;60;70;71;73;75;77;8;85"
"DB00634","49;70"
"DB00635","11;15;22;3;34;47;49;58;6;67;70;73;74;75;77;83"
"DB00636","11;4;47;48;57;6;67;70;73;75;9"
"DB00637","20;33;4;47;49;70;73;75;76;77;82"
"DB00639","13;33;47;49;67;70;73;75"
"DB00640","25;49;70"
"DB00641","4;47;48;49;6;73;75;77;80"
"DB00642","15;34;49;58"
"DB00643","15;4;47;49;58;73;75;77"
"DB00645","16;32;49;8"
"DB00646","13;47;49;67;70;73;75"
"DB00647","16;32;39;4;47;49;54;60;64;65;69;70;73;75;77;8"
"DB00648","11;58;70;75"
"DB00649","49;70;73;80"
"DB00650","49;70;75"
"DB00651","14;4;47;49;60;70;73;75;77"
"DB00652","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB00653","16;21;32;4;47;49;60;67;70;73;75"
"DB00654","10;37;60;70"
"DB00655","12;22;28;3;4;47;49;6;67;70;73;74;75;81;83"
"DB00656","12;16;20;32;4;47;49;64;70;73;75;8"
"DB00657","10;2;21;30;37;39;49;59;60;70;73;75;85"
"DB00658","67;75"
"DB00660","16;32;49;8"
"DB00661","11;21;25;30;35;4;47;49;54;6;60;62;70;72;73;75;77"
"DB00662","16"
"DB00663","22;3;49;6;67;70;73;74;75;78;83"
"DB00664","33;49;73"
"DB00665","15;4;47;49;58;70;73;75"
"DB00666","70"
"DB00668","25;37;49;5;60;70;71;73;82;83;85"
"DB00669","19;47;49;64;71;73;75;77"
"DB00670","16;2;39;49;59;70;73;85"
"DB00671","6;70;73"
"DB00672","4;43;47;49;50;6;70;73;75;77;8;9"
"DB00673","4;47;49;73;75"
"DB00674","17;20;25;4;47;49;54;70;73;75"
"DB00675","11;15;20;4;47;49;58;6;72;73;75;77;80"
"DB00677","17;4;47;49;54;70;73;75"
"DB00678","10;30;37;4;47;49;57;60;68;70;73;75;77;82"
"DB00679","16;20;30;32;33;35;36;4;47;49;60;61;67;70;73;75;77;8;82"
"DB00680","49;60;67;73"
"DB00681","13;30;47;49;57;60;67;70;73;75;83"
"DB00682","12;4;47;49;6;66;67;70;73;75"
"DB00683","16;32;4;47;49;70;73;75;77;8"
"DB00684","21;24;40;49;57;7;70;72;73;75"
"DB00685","15;27;33;47;49;58;6;67;73;75;9"
"DB00686","12;49;6;66;70"
"DB00687","22;3;34;49;6;67;70;73;74;75;78;83"
"DB00688","15;27;29;34;37;4;47;49;57;58;6;66;67;68;70;72;73;75"
"DB00689","6;70;73"
"DB00690","16;32;4;47;49;70;73;75;77;8"
"DB00691","10;20;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00692","10;30;37;49;60;70"
"DB00694","15;21;24;34;4;40;47;49;57;58;7;72;73;75;77"
"DB00695","17;20;29;30;49;56;57;60;65;67;7;70;73;75;82;83"
"DB00696","19;25;37;4;47;49;5;62;64;70;71;73;75;77"
"DB00697","16;20;25;30;32;37;49;5;54;60;70;71;73;75;85"
"DB00698","49;68;70;73;75"
"DB00699","47;49;62;73"
"DB00700","30;37;4;49;56;57;60;68;70;73;75"
"DB00701","4;47;49;70;73;75;77"
"DB00703","30;49;56;57;60;70;72;73;75;77"
"DB00704","49;70;73;77"
"DB00705","11;4;47;49;67;70;73;75;77;82"
"DB00706","10;30;4;47;49;5;60;73;75"
"DB00708","16;25;30;32;39;4;47;49;54;60;64;65;69;70;73;75;79;8"
"DB00709","49;72;73;75;80"
"DB00710","20;24;49;70;75"
"DB00711","75"
"DB00712","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00713","11;6;70;72;73;75"
"DB00714","19;20;25;30;37;47;49;60;70;71;73"
"DB00715","11;20;27;33;45;47;49;53;55;6;64;66;70;73;75;77;9"
"DB00717","4;47;70;73;75"
"DB00718","70;73"
"DB00719","70;75;76"
"DB00720","24;49;70;73;75"
"DB00721","16;32;49;8"
"DB00722","10;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00723","49;5;70;71;75;84;85"
"DB00724","15;34;4;47;49;58;73;75"
"DB00726","16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;77;8;82;84"
"DB00727","30;38;49;60;62"
"DB00728","17;21;40;82"
"DB00730","47;73;75"
"DB00731","4;47;50;70;73;75;8;9"
"DB00732","17;2;21;22;39;40;49;59;70;73;82;85"
"DB00734","16;20;25;32;35;36;37;4;47;49;60;61;64;70;73;75;77;8;82"
"DB00735","13;27;29;37;47;49;57;6;66;67;68;70;72;73;75"
"DB00736","11;18;26;4;47;67;70;73;75"
"DB00737","16;32;49;70;76;8"
"DB00738","13;20;33;4;47;49;67;70;73;75;77;82;9"
"DB00740","47;70;73;75"
"DB00741","22;3;34;47;49;6;67;70;73;74;75;77;83"
"DB00742","30;49;56;57;60;70;73;75"
"DB00743","20"
"DB00744","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00745","11;4;47;49;73;75"
"DB00746","49"
"DB00747","16;2;32;39;49;59;70;73;77;8"
"DB00748","16;32;4;47;49;70;73;75;76;77;8"
"DB00749","27;29;37;4;47;49;53;57;6;66;67;68;70;72;73;75;81"
"DB00750","16;32;49;8"
"DB00751","18;4;47;49;5;53;6;67;70;71;73;75;76;77;85"
"DB00752","11;16;2;27;30;31;32;33;41;44;47;49;60;64;70;71;73;77;8;9"
"DB00753","16;20;21;30;32;4;47;49;60;71;73;75;8;82"
"DB00754","16;32;49;6;70;73;75"
"DB00755","15;30;34;4;47;49;58;60;70;73;75;81"
"DB00757","20;4;47;52;60;64;73;75;77;82"
"DB00758","11;26;4;47;49;53;6;70;73;75"
"DB00759","4;47;49;70;73;75"
"DB00760","70;73;75"
"DB00761","49;59"
"DB00762","15;34;47;49;58;73;75;77"
"DB00763","11;12;49;70;73;75;77"
"DB00764","22;3;49;6;67;70;73;74;75;78;83"
"DB00765","10;32;37;49;60;70"
"DB00766","70"
"DB00768","16;27;29;32;37;4;47;49;57;6;66;67;68;70;72;73;75;76;8"
"DB00769","75"
"DB00770","49;53;6;70"
"DB00771","16;32;49;8"
"DB00772","17;4;47;49;54;70;73;75"
"DB00773","15;34;47;49;58;6;73;75;77"
"DB00774","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB00775","49;53;6"
"DB00776","11;16;49;64;70;73;75"
"DB00778","33;4;47;49;70;73;75"
"DB00779","15;27;33;47;49;58;6;67;70;73;75;9"
"DB00780","2;21;27;30;31;33;41;44;47;49;60;64;71;73;79;8;9"
"DB00781","21;57;70"
"DB00782","2;39;49;59;70;73;85"
"DB00783","12;28;4;47;49;70;73;75;81"
"DB00784","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00787","73"
"DB00788","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
