Drug1_ID,Drug2_ID,Label
DB01274,DB02703,0
DB00448,DB01295,0
DB08932,DB00836,0
DB00441,DB00206,0
DB00401,DB04865,0
DB09275,DB01057,0
DB01319,DB04953,0
DB00678,DB01563,0
DB00861,DB04938,0
DB00436,DB06261,0
DB01620,DB01077,0
DB09277,DB08865,0
DB00323,DB00496,0
DB00353,DB00339,0
DB08826,DB00842,0
DB01007,DB00828,0
DB06715,DB06402,0
DB00737,DB00927,0
DB04920,DB00565,0
DB00243,DB03615,0
DB00530,DB00888,0
DB01084,DB01124,0
DB01176,DB00572,0
DB00560,DB00957,0
DB00241,DB04576,0
DB01176,DB04930,0
DB11737,DB09414,0
DB09322,DB00847,0
DB08971,DB00800,0
DB11304,DB00855,0
DB01005,DB00982,0
DB00929,DB06595,0
DB01399,DB00898,0
DB00292,DB00417,0
DB06788,DB00546,0
DB00835,DB01121,0
DB00671,DB06792,0
DB00353,DB00794,0
DB09146,DB00256,0
DB00258,DB00458,0
DB09477,DB04572,0
DB01044,DB00613,0
DB08911,DB00641,0
DB00358,DB00855,0
DB00925,DB00198,0
DB00677,DB00871,0
DB00122,DB00547,0
DB03793,DB05630,0
DB06150,DB00966,0
DB01036,DB00229,0
DB00185,DB11348,0
DB00778,DB02300,0
DB01113,DB00455,0
DB00821,DB00319,0
DB00808,DB01135,0
DB00686,DB06711,0
DB01205,DB09031,0
DB09060,DB00231,0
DB01005,DB00501,0
DB00759,DB00544,0
DB07615,DB00982,0
DB00981,DB00911,0
DB00280,DB08887,0
DB09117,DB08994,0
DB01349,DB00446,0
DB05109,DB09268,0
DB00887,DB00014,0
DB09281,DB00661,0
DB09212,DB00497,0
DB01280,DB00975,0
DB06694,DB01575,0
DB00990,DB00607,0
DB00754,DB09147,0
DB01092,DB01141,0
DB01094,DB01105,0
DB01217,DB00643,0
DB09292,DB00247,0
DB01130,DB00257,0
DB01154,DB04894,0
DB09134,DB09345,0
DB00655,DB00304,0
DB06690,DB00479,0
DB11943,DB00427,0
DB01435,DB06694,0
DB01154,DB01150,0
DB00700,DB00662,0
DB08996,DB01209,0
DB01014,DB06825,0
DB01188,DB01364,0
DB00712,DB01228,0
DB01005,DB00446,0
DB00762,DB01124,0
DB00378,DB00206,0
DB09079,DB04841,0
DB08941,DB01105,0
DB06713,DB01501,0
DB01107,DB01878,0
DB09026,DB04711,0
DB00875,DB01339,0
DB00932,DB08964,0
DB06016,DB00504,0
DB08882,DB06813,0
DB06700,DB08889,0
DB00668,DB00449,0
DB04953,DB11633,0
DB00843,DB00514,0
DB08820,DB01155,0
DB04854,DB00451,0
DB09342,DB00126,0
DB00485,DB00569,0
DB09034,DB01007,0
DB11730,DB00754,0
DB01321,DB00609,0
DB00409,DB01330,0
DB00875,DB11737,0
DB00613,DB01207,0
DB06401,DB01582,0
DB00468,DB01255,0
DB08795,DB09014,0
DB01437,DB00179,0
DB01014,DB01366,0
DB00951,DB01247,0
DB09094,DB11560,0
DB00437,DB00359,0
DB08903,DB00446,0
DB01602,DB00394,0
DB09288,DB01205,0
DB00736,DB00555,0
DB01190,DB06810,0
DB01086,DB00851,0
DB01627,DB06788,0
DB08905,DB11817,0
DB01250,DB00425,0
DB09295,DB09241,0
DB00274,DB01216,0
DB00714,DB04938,0
DB00433,DB01216,0
DB00531,DB00738,0
DB09134,DB01604,0
DB01218,DB00685,0
DB09078,DB01577,0
DB00792,DB01355,0
DB01592,DB00564,0
DB00273,DB00354,0
DB00988,DB00631,0
DB09561,DB00909,0
DB01205,DB00968,0
DB00547,DB06287,0
DB00968,DB00035,0
DB12278,DB00617,0
DB01039,DB01110,0
DB00415,DB01155,0
DB01291,DB00804,0
DB09134,DB08947,0
DB01367,DB00770,0
DB06262,DB00526,0
DB01050,DB00742,0
DB06789,DB00592,0
DB01581,DB01165,0
DB01088,DB05381,0
DB01006,DB08983,0
DB00628,DB05266,0
DB01628,DB06152,0
DB09067,DB06412,0
DB06145,DB00290,0
DB01581,DB01264,0
DB06211,DB00691,0
DB01436,DB09265,0
DB01764,DB09104,0
DB01612,DB05630,0
DB01117,DB08815,0
DB01015,DB00303,0
DB08984,DB01054,0
DB08799,DB01001,0
DB00429,DB00904,0
DB00377,DB06739,0
DB01438,DB00358,0
DB00035,DB00224,0
DB01410,DB00275,0
DB09162,DB01018,0
DB11239,DB01409,0
DB05219,DB01165,0
DB00987,DB00236,0
DB00920,DB00352,0
DB00142,DB00775,0
DB09238,DB06413,0
DB04842,DB13879,0
DB00162,DB01297,0
DB04835,DB01190,0
DB01411,DB11148,0
DB00273,DB00819,0
DB11342,DB00215,0
DB06637,DB01083,0
DB09085,DB06764,0
DB11148,DB06729,0
DB06710,DB01128,0
DB00654,DB00535,0
DB00223,DB00150,0
DB09555,DB13025,0
DB01255,DB01105,0
DB12026,DB08922,0
DB00728,DB00726,0
DB04865,DB01615,0
DB00734,DB00732,0
DB01110,DB00376,0
DB00273,DB09216,0
DB00762,DB00819,0
DB00357,DB06700,0
DB01612,DB01613,0
DB06701,DB00330,0
DB00763,DB00719,0
DB00392,DB00679,0
DB06715,DB09135,0
DB09117,DB08916,0
DB00233,DB00954,0
DB00479,DB08875,0
DB00126,DB00239,0
DB00822,DB01151,0
DB00446,DB01059,0
DB01429,DB00270,0
DB00928,DB08909,0
DB00491,DB05294,0
DB04846,DB01297,0
DB00554,DB01357,0
DB01355,DB01435,0
DB00678,DB09095,0
DB00637,DB00807,0
DB09280,DB00258,0
DB06803,DB08875,0
DB00360,DB00511,0
DB00281,DB01349,0
DB00823,DB04575,0
DB01051,DB01326,0
DB09069,DB11641,0
DB00835,DB05039,0
DB09236,DB09300,0
DB00736,DB11079,0
DB00864,DB01582,0
DB00668,DB01220,0
DB08908,DB05260,0
DB01599,DB00484,0
DB04920,DB00230,0
DB09321,DB05541,0
DB06637,DB00320,0
DB00765,DB00190,0
DB11304,DB13142,0
DB01623,DB01619,0
DB00845,DB00634,0
DB00430,DB00883,0
DB00882,DB00212,0
DB00715,DB00654,0
DB00353,DB05246,0
DB00437,DB00567,0
DB00470,DB08869,0
DB06147,DB11315,0
DB09123,DB01328,0
DB00763,DB01338,0
DB04572,DB00752,0
DB06792,DB09000,0
DB00338,DB00526,0
DB00689,DB01240,0
DB00315,DB00620,0
DB00489,DB00162,0
DB06736,DB00239,0
DB01000,DB01199,0
DB09162,DB01234,0
DB00753,DB00634,0
DB13167,DB01393,0
DB08884,DB00027,0
DB12070,DB01110,0
DB00757,DB00399,0
DB01337,DB00208,0
DB09295,DB09352,0
DB12278,DB00243,0
DB00622,DB00419,0
DB11793,DB01433,0
DB00340,DB01410,0
DB08947,DB04894,0
DB03754,DB01180,0
DB00519,DB06704,0
DB01294,DB06228,0
DB08965,DB01058,0
DB09281,DB04743,0
DB09277,DB01325,0
DB00625,DB00035,0
DB01301,DB00203,0
DB09297,DB06769,0
DB09021,DB00199,0
DB09223,DB00746,0
DB01182,DB00688,0
DB00266,DB01336,0
DB01251,DB00546,0
DB00648,DB11633,0
DB09462,DB00719,0
DB01407,DB00850,0
DB01591,DB00749,0
DB00896,DB01764,0
DB00462,DB00166,0
DB01384,DB00256,0
DB00537,DB06792,0
DB01014,DB00949,0
DB03793,DB00388,0
DB01048,DB00623,0
DB00515,DB00801,0
DB11613,DB00553,0
DB04575,DB00696,0
DB00613,DB09343,0
DB00165,DB00882,0
DB00915,DB00766,0
DB00554,DB06480,0
DB00351,DB12161,0
DB01084,DB00921,0
DB08931,DB11079,0
DB00273,DB01330,0
DB09021,DB00795,0
DB11609,DB01613,0
DB00627,DB00296,0
DB01007,DB09223,0
DB00502,DB09104,0
DB06789,DB00845,0
DB09143,DB00806,0
DB08893,DB00916,0
DB00793,DB00850,0
DB11560,DB00980,0
DB06237,DB01501,0
DB01039,DB01093,0
DB09061,DB00881,0
DB01599,DB01364,0
DB09143,DB01107,0
DB06616,DB01000,0
DB00514,DB01180,0
DB00867,DB01090,0
DB03756,DB09030,0
DB00999,DB00904,0
DB06824,DB06718,0
DB00652,DB09236,0
DB00322,DB08922,0
DB04835,DB01400,0
DB01016,DB00610,0
DB00481,DB00418,0
DB01099,DB01414,0
DB01161,DB00221,0
DB08802,DB00592,0
DB01377,DB00988,0
DB00485,DB00890,0
DB09220,DB09293,0
DB00345,DB00817,0
DB00315,DB01452,0
DB00307,DB00503,0
DB00783,DB00399,0
DB00198,DB00153,0
DB00523,DB00927,0
DB00396,DB09000,0
DB00723,DB06786,0
DB00482,DB06712,0
DB00541,DB00402,0
DB01399,DB01247,0
DB00442,DB11610,0
DB09216,DB13450,0
DB13167,DB11610,0
DB00689,DB13873,0
DB00193,DB00212,0
DB08822,DB09093,0
DB00484,DB00438,0
DB00432,DB08798,0
DB12364,DB01339,0
DB00433,DB06150,0
DB00324,DB00614,0
DB01081,DB06723,0
DB01607,DB01144,0
DB01606,DB00879,0
DB09156,DB06176,0
DB13025,DB11235,0
DB00188,DB09015,0
DB01627,DB09143,0
DB08984,DB09210,0
DB00834,DB00400,0
DB09212,DB06290,0
DB09235,DB06654,0
DB00140,DB00956,0
DB03754,DB09061,0
DB01156,DB00606,0
DB00722,DB00260,0
DB09096,DB00292,0
DB00654,DB05039,0
DB00830,DB00228,0
DB00911,DB00665,0
DB09352,DB00352,0
DB00743,DB01007,0
DB09016,DB01228,0
DB06723,DB09231,0
DB04575,DB00794,0
DB06708,DB00305,0
DB00140,DB06729,0
DB05239,DB00540,0
DB00560,DB00246,0
DB11989,DB00126,0
DB00276,DB09117,0
DB11093,DB00425,0
DB00215,DB09095,0
DB00692,DB08974,0
DB01088,DB09345,0
DB09104,DB01120,0
DB08884,DB01384,0
DB00829,DB00621,0
DB00555,DB08994,0
DB01463,DB01396,0
DB01243,DB01604,0
DB09067,DB00449,0
DB01238,DB02659,0
DB00236,DB04398,0
DB04911,DB00976,0
DB09014,DB00934,0
DB01553,DB00405,0
DB00992,DB08893,0
DB00805,DB00819,0
DB08869,DB06211,0
DB00625,DB01141,0
DB00962,DB00449,0
DB01151,DB00879,0
DB01288,DB00679,0
DB06684,DB09283,0
DB06725,DB00629,0
DB00615,DB01140,0
DB09161,DB00920,0
DB09477,DB09014,0
DB09211,DB09082,0
DB00488,DB00613,0
DB06153,DB08967,0
DB09561,DB01047,0
DB04272,DB01037,0
DB01264,DB00879,0
DB05260,DB01122,0
DB01063,DB09289,0
DB00391,DB06480,0
DB01246,DB01250,0
DB00475,DB00453,0
DB01586,DB11268,0
DB01598,DB08871,0
DB00384,DB00978,0
DB09322,DB01085,0
DB00712,DB08883,0
DB01280,DB06716,0
DB00550,DB00189,0
DB06413,DB11636,0
DB00165,DB11560,0
DB00333,DB01066,0
DB01579,DB00741,0
DB06193,DB01656,0
DB00791,DB08816,0
DB00181,DB08913,0
DB00535,DB01124,0
DB01085,DB09087,0
DB01006,DB05039,0
DB00671,DB00313,0
DB09352,DB06696,0
DB09269,DB06767,0
DB00242,DB00769,0
DB05239,DB00253,0
DB00410,DB09244,0
DB01129,DB00366,0
DB09049,DB06739,0
DB09071,DB00352,0
DB00014,DB00275,0
DB09244,DB00518,0
DB01115,DB00924,0
DB06154,DB08987,0
DB06702,DB00953,0
DB00231,DB00857,0
DB01013,DB06605,0
DB06769,DB09079,0
DB00274,DB01067,0
DB00291,DB05528,0
DB01131,DB00923,0
DB00650,DB00176,0
DB00658,DB01090,0
DB00821,DB01764,0
DB00393,DB08806,0
DB00581,DB00759,0
DB00773,DB04552,0
DB00938,DB00745,0
DB01008,DB00972,0
DB00282,DB00594,0
DB09038,DB00180,0
DB00938,DB00753,0
DB09230,DB09343,0
DB00309,DB09083,0
DB00469,DB00751,0
DB09338,DB06267,0
DB08800,DB06213,0
DB00736,DB03793,0
DB00816,DB01165,0
DB00198,DB01008,0
DB00525,DB00332,0
DB08796,DB00603,0
DB08807,DB00681,0
DB00411,DB13879,0
DB06290,DB05990,0
DB00198,DB00870,0
DB00163,DB08864,0
DB09267,DB01289,0
DB00561,DB00420,0
DB09209,DB00216,0
DB00552,DB09054,0
DB00671,DB00972,0
DB01005,DB01047,0
DB01159,DB09262,0
DB01171,DB11596,0
DB00259,DB01080,0
DB01612,DB09099,0
DB09162,DB01124,0
DB11943,DB01012,0
DB06684,DB01299,0
DB09235,DB01357,0
DB08896,DB00376,0
DB00577,DB00228,0
DB01411,DB00188,0
DB01626,DB09042,0
DB00779,DB00146,0
DB06403,DB00916,0
DB00639,DB00627,0
DB01291,DB00376,0
DB00484,DB00758,0
DB11348,DB09014,0
DB00751,DB00308,0
DB00152,DB01175,0
DB00436,DB00243,0
DB05630,DB09054,0
DB01211,DB08880,0
DB01301,DB00891,0
DB04938,DB08931,0
DB12598,DB00750,0
DB01284,DB01243,0
DB06595,DB01093,0
DB01106,DB08938,0
DB09112,DB08913,0
DB11737,DB00690,0
DB01245,DB09112,0
DB01054,DB11817,0
DB06713,DB00549,0
DB09124,DB01127,0
DB00210,DB00213,0
DB09082,DB09215,0
DB00887,DB08875,0
DB00656,DB01576,0
DB08877,DB11994,0
DB01605,DB00376,0
DB06150,DB06155,0
DB00309,DB04951,0
DB01413,DB01273,0
DB01612,DB00656,0
DB00187,DB01349,0
DB00740,DB00817,0
DB00278,DB09068,0
DB00535,DB01069,0
DB00799,DB00982,0
DB01002,DB00806,0
DB09256,DB01345,0
DB06795,DB00698,0
DB00500,DB01426,0
DB09322,DB00142,0
DB06654,DB01615,0
DB11093,DB00934,0
DB00956,DB00744,0
DB00472,DB00166,0
DB00014,DB09345,0
DB00910,DB00444,0
DB01243,DB09345,0
DB06654,DB00548,0
DB00467,DB01030,0
DB06730,DB09283,0
DB08822,DB05351,0
DB01219,DB00359,0
DB06724,DB00213,0
DB01048,DB00488,0
DB01155,DB01328,0
DB06708,DB09225,0
DB01243,DB04948,0
DB08875,DB00158,0
DB09078,DB00903,0
DB00650,DB00296,0
DB00291,DB09293,0
DB06723,DB09268,0
DB00330,DB09345,0
DB00745,DB09061,0
DB08828,DB09120,0
DB09060,DB00297,0
DB08880,DB01135,0
DB00471,DB11630,0
DB06196,DB04839,0
DB01433,DB01150,0
DB00935,DB01248,0
DB00503,DB01384,0
DB00547,DB09320,0
DB00715,DB00417,0
DB06152,DB04855,0
DB08808,DB00836,0
DB00677,DB06212,0
DB00663,DB06701,0
DB09295,DB00710,0
DB00835,DB05528,0
DB01174,DB05266,0
DB01260,DB06193,0
DB00731,DB01273,0
DB05812,DB00595,0
DB01390,DB00639,0
DB01043,DB01369,0
DB01409,DB00927,0
DB00959,DB01299,0
DB08912,DB06594,0
DB00658,DB00397,0
DB06707,DB09020,0
DB06636,DB01501,0
DB00175,DB09215,0
DB00751,DB08992,0
DB01081,DB11641,0
DB00954,DB00230,0
DB00890,DB01006,0
DB04839,DB09041,0
DB00701,DB01188,0
DB01602,DB13231,0
DB01435,DB12267,0
DB00410,DB01332,0
DB00680,DB00871,0
DB00451,DB00474,0
DB06589,DB01058,0
DB01319,DB11342,0
DB00755,DB08910,0
DB01235,DB08887,0
DB00826,DB01338,0
DB01431,DB04339,0
DB00429,DB09211,0
DB01511,DB01241,0
DB00918,DB01005,0
DB00409,DB00305,0
DB01147,DB00153,0
DB00748,DB00592,0
DB00503,DB03619,0
DB00452,DB01058,0
DB09291,DB00345,0
DB11126,DB06729,0
DB00846,DB00277,0
DB02513,DB08903,0
DB00961,DB00710,0
DB11660,DB01037,0
DB01578,DB01035,0
DB09068,DB09015,0
DB00238,DB00442,0
DB00479,DB09295,0
DB00583,DB00753,0
DB00773,DB01262,0
DB00960,DB00430,0
DB09211,DB06144,0
DB00232,DB09161,0
DB09153,DB00637,0
DB00954,DB00903,0
DB00354,DB00537,0
DB01626,DB00903,0
DB01178,DB06718,0
DB12070,DB00979,0
DB00642,DB08871,0
DB00313,DB01410,0
DB06706,DB05015,0
DB01173,DB00592,0
DB01126,DB00480,0
DB00371,DB00553,0
DB06196,DB13231,0
DB06263,DB01420,0
DB00385,DB00686,0
DB00850,DB00432,0
DB00761,DB00633,0
DB06403,DB09014,0
DB08954,DB01007,0
DB01420,DB01328,0
DB00268,DB06711,0
DB01021,DB11699,0
DB00607,DB09000,0
DB01200,DB01227,0
DB00675,DB00377,0
DB00470,DB00513,0
DB00513,DB06716,0
DB00442,DB09338,0
DB00390,DB00882,0
DB09281,DB01289,0
DB09084,DB00641,0
DB11699,DB01137,0
DB01184,DB01253,0
DB01035,DB00206,0
DB00346,DB00934,0
DB06718,DB00287,0
DB09269,DB09320,0
DB01155,DB09161,0
DB09014,DB03128,0
DB01589,DB01090,0
DB00603,DB00245,0
DB00153,DB01204,0
DB00166,DB00958,0
DB04552,DB09185,0
DB09342,DB08867,0
DB08918,DB06769,0
DB00917,DB00946,0
DB00360,DB01615,0
DB04846,DB00228,0
DB01246,DB00662,0
DB06145,DB00354,0
DB01427,DB00937,0
DB00523,DB00170,0
DB04948,DB00443,0
DB00437,DB00205,0
DB06216,DB00392,0
DB00792,DB01101,0
DB08802,DB01202,0
DB01155,DB00778,0
DB00189,DB11915,0
DB09224,DB03796,0
DB08860,DB01116,0
DB06207,DB11994,0
DB01252,DB06335,0
DB08976,DB00802,0
DB00846,DB00910,0
DB00680,DB01248,0
DB00222,DB00602,0
DB09065,DB00940,0
DB04846,DB01060,0
DB11231,DB00221,0
DB00905,DB00933,0
DB11989,DB00735,0
DB00436,DB04339,0
DB00254,DB11994,0
DB09212,DB06594,0
DB00470,DB00280,0
DB00273,DB01241,0
DB00724,DB00754,0
DB00222,DB01068,0
DB01256,DB06725,0
DB00851,DB06144,0
DB00258,DB00513,0
DB01117,DB00277,0
DB00396,DB00662,0
DB00347,DB01054,0
DB01406,DB00855,0
DB01016,DB00593,0
DB13153,DB09009,0
DB00442,DB06267,0
DB00485,DB12532,0
DB00837,DB06729,0
DB11633,DB00264,0
DB00325,DB00199,0
DB01164,DB09095,0
DB00328,DB00397,0
DB01436,DB00191,0
DB06243,DB01440,0
DB09162,DB04846,0
DB04868,DB06769,0
DB08822,DB00432,0
DB00206,DB00548,0
DB08816,DB01114,0
DB12598,DB06694,0
DB09323,DB01282,0
DB00655,DB00335,0
DB00691,DB01078,0
DB00527,DB00412,0
DB00990,DB02701,0
DB06820,DB00210,0
DB00460,DB13142,0
DB09162,DB01083,0
DB01196,DB08934,0
DB00422,DB01576,0
DB01037,DB00828,0
DB12364,DB00993,0
DB00163,DB00104,0
DB08800,DB00335,0
DB01181,DB06268,0
DB06769,DB08930,0
DB00268,DB00399,0
DB09323,DB00492,0
DB00552,DB11613,0
DB06228,DB01083,0
DB08802,DB00748,0
DB09321,DB00565,0
DB00202,DB11256,0
DB11614,DB01227,0
DB09072,DB09449,0
DB00979,DB01026,0
DB08965,DB00721,0
DB00842,DB00828,0
DB00347,DB00650,0
DB01420,DB13450,0
DB00327,DB04786,0
DB01070,DB00235,0
DB08807,DB00180,0
DB01370,DB00916,0
DB00952,DB00981,0
DB00850,DB01605,0
DB01558,DB00811,0
DB00793,DB01622,0
DB00658,DB00708,0
DB01034,DB04570,0
DB09285,DB13025,0
DB00333,DB08907,0
DB00570,DB00678,0
DB00870,DB01087,0
DB08820,DB09161,0
DB00852,DB13146,0
DB01139,DB01105,0
DB01275,DB01622,0
DB00186,DB00788,0
DB01623,DB01172,0
DB00385,DB00891,0
DB00823,DB09146,0
DB09277,DB00827,0
DB11641,DB00610,0
DB06637,DB00247,0
DB08976,DB12532,0
DB09117,DB05381,0
DB09161,DB11126,0
DB00829,DB01333,0
DB00291,DB01353,0
DB09477,DB09041,0
DB00178,DB00503,0
DB00985,DB01412,0
DB01033,DB00208,0
DB09040,DB00810,0
DB01365,DB11699,0
DB01213,DB09242,0
DB01627,DB00262,0
DB09212,DB00658,0
DB00814,DB01268,0
DB09338,DB00951,0
DB09080,DB11994,0
DB00998,DB05260,0
DB00186,DB01622,0
DB01153,DB09244,0
DB04794,DB00391,0
DB08873,DB00645,0
DB06193,DB00835,0
DB00359,DB00662,0
DB00664,DB00541,0
DB06708,DB00492,0
DB00361,DB00378,0
DB00983,DB12924,0
DB06282,DB06786,0
DB00508,DB01609,0
DB00875,DB01093,0
DB00191,DB00412,0
DB00399,DB04576,0
DB01032,DB00391,0
DB03793,DB11915,0
DB00503,DB00517,0
DB00550,DB00180,0
DB00312,DB01091,0
DB06211,DB00014,0
DB09277,DB01174,0
DB00792,DB00187,0
DB00846,DB00836,0
DB01129,DB01169,0
DB06267,DB01102,0
DB00193,DB01091,0
DB01064,DB11613,0
DB00914,DB04339,0
DB00609,DB06264,0
DB00867,DB01551,0
DB00748,DB01217,0
DB00970,DB00484,0
DB01294,DB01511,0
DB04948,DB09262,0
DB09242,DB06742,0
DB01191,DB01332,0
DB00830,DB00773,0
DB09245,DB00410,0
DB01611,DB01408,0
DB01411,DB00888,0
DB00201,DB00524,0
DB00384,DB09295,0
DB09065,DB09276,0
DB00389,DB00873,0
DB00704,DB12267,0
DB00803,DB00204,0
DB01107,DB09042,0
DB00787,DB00175,0
DB00869,DB13146,0
DB00577,DB01108,0
DB01259,DB00572,0
DB01070,DB01209,0
DB01626,DB09030,0
DB01194,DB06704,0
DB08930,DB08974,0
DB01118,DB06594,0
DB02513,DB00863,0
DB00371,DB00487,0
DB12026,DB09321,0
DB00257,DB00920,0
DB00361,DB00356,0
DB00334,DB01599,0
DB00866,DB11817,0
DB01268,DB00986,0
DB00998,DB00894,0
DB01042,DB00691,0
DB01173,DB00788,0
DB00808,DB05316,0
DB00226,DB01601,0
DB11619,DB08828,0
DB01436,DB01378,0
DB00336,DB09225,0
DB08801,DB00927,0
DB09269,DB00870,0
DB09238,DB04918,0
DB09041,DB00754,0
DB01356,DB06155,0
DB09123,DB09283,0
DB01015,DB03796,0
DB04272,DB01072,0
DB00211,DB00993,0
DB01578,DB01030,0
DB00697,DB01089,0
DB00726,DB01138,0
DB04854,DB01589,0
DB02513,DB00430,0
DB11596,DB09278,0
DB01250,DB01403,0
DB01429,DB01273,0
DB00291,DB00518,0
DB01156,DB09093,0
DB06788,DB00394,0
DB00856,DB09561,0
DB08826,DB00884,0
DB01162,DB06689,0
DB00957,DB00761,0
DB09091,DB08901,0
DB00486,DB01345,0
DB06708,DB00417,0
DB09067,DB00397,0
DB08947,DB03128,0
DB00656,DB00989,0
DB09090,DB00951,0
DB01607,DB00035,0
DB01196,DB00656,0
DB00925,DB01033,0
DB09297,DB00328,0
DB08911,DB00295,0
DB01098,DB00104,0
DB00294,DB00221,0
DB09257,DB00319,0
DB01423,DB00331,0
DB09293,DB01289,0
DB00492,DB01431,0
DB00708,DB06804,0
DB00657,DB01097,0
DB00223,DB01614,0
DB09183,DB01116,0
DB00211,DB09147,0
DB00904,DB09320,0
DB06715,DB00993,0
DB01021,DB01169,0
DB00432,DB00776,0
DB00502,DB01007,0
DB01120,DB00982,0
DB01429,DB00568,0
DB01327,DB00541,0
DB09094,DB01124,0
DB00361,DB01577,0
DB11156,DB00529,0
DB09235,DB11613,0
DB00448,DB00552,0
DB01597,DB08887,0
DB00560,DB09242,0
DB01142,DB05528,0
DB00787,DB00806,0
DB00201,DB01580,0
DB01233,DB05109,0
DB06626,DB09352,0
DB09220,DB09343,0
DB08865,DB11596,0
DB06441,DB08864,0
DB11342,DB08910,0
DB09211,DB00588,0
DB00822,DB01089,0
DB00656,DB09282,0
DB06292,DB01606,0
DB08913,DB00820,0
DB01166,DB00241,0
DB01094,DB01102,0
DB05990,DB00120,0
DB00276,DB09244,0
DB01039,DB00292,0
DB08816,DB05246,0
DB13878,DB00760,0
DB00889,DB01192,0
DB00115,DB01366,0
DB01161,DB08947,0
DB00732,DB09096,0
DB01198,DB06730,0
DB00419,DB06827,0
DB01000,DB00643,0
DB01362,DB08804,0
DB00697,DB09049,0
DB01224,DB09231,0
DB00411,DB09161,0
DB06193,DB08913,0
DB00727,DB00758,0
DB00759,DB01268,0
DB00762,DB01590,0
DB01005,DB09272,0
DB09102,DB00324,0
DB00890,DB01141,0
DB01001,DB00623,0
DB09280,DB13450,0
DB01218,DB00281,0
DB00339,DB04339,0
DB00811,DB01580,0
DB08865,DB00563,0
DB00226,DB01273,0
DB00554,DB08947,0
DB13872,DB00764,0
DB00437,DB06193,0
DB00973,DB01061,0
DB00346,DB11342,0
DB11619,DB01201,0
DB00209,DB00653,0
DB09102,DB00680,0
DB00697,DB00836,0
DB00974,DB09488,0
DB00583,DB00932,0
DB04846,DB08947,0
DB01614,DB00396,0
DB06201,DB00998,0
DB08807,DB06729,0
DB01195,DB09282,0
DB01177,DB00849,0
DB00423,DB00398,0
DB00787,DB00542,0
DB00456,DB06595,0
DB11609,DB01420,0
DB01017,DB06603,0
DB09137,DB09273,0
DB00350,DB01409,0
DB01101,DB06264,0
DB00537,DB00281,0
DB06772,DB04918,0
DB01274,DB08987,0
DB00692,DB00136,0
DB00479,DB01377,0
DB08802,DB00609,0
DB00636,DB01068,0
DB00288,DB00854,0
